# Oxygen-Containing Functional Groups (General Formulas and Key Structural Motifs)

| Category | Functional group | General formula (condensed) | Key structural motif (text) | Typical example (name) | Example formula |
| --- | --- | --- | --- | --- | --- |
| Hydroxy / Ether | Alcohol (hydroxyl) | ROH | R–O–H | ethanol | CH3CH2OH |
| Hydroxy / Ether | Phenol | ArOH | Ar–O–H | phenol | C6H5OH |
| Hydroxy / Ether | Ether | ROR' | R–O–R' | diethyl ether | CH3CH2OCH2CH3 |
| Carbonyl | Aldehyde | RCHO | R–C(=O)H | ethanal | CH3CHO |
| Carbonyl | Ketone | RCOR' | R–C(=O)–R' | acetone | (CH3)2CO |
| Carboxylic acids & derivatives | Carboxylic acid | RCO2H (RCOOH) | R–C(=O)–OH | acetic acid | CH3CO2H |
| Carboxylic acids & derivatives | Ester | RCO2R' (RCOOR') | R–C(=O)–OR' | ethyl acetate | CH3CO2CH2CH3 |
| Carboxylic acids & derivatives | Acid anhydride | (RCO)2O | R–C(=O)–O–C(=O)–R | acetic anhydride | (CH3CO)2O |
| Carboxylic acids & derivatives | Acyl (acid) halide | RCOX | R–C(=O)–X | acetyl chloride | CH3COCl |
| Other O-containing | Peroxide | ROOR' | R–O–O–R' | di-tert-butyl peroxide | (CH3)3COOC(CH3)3 |
| Other O-containing | Epoxide (oxirane) | C2H4O (as a ring) / RCH–CH2O (ring) | three-membered cyclic ether | ethylene oxide | C2H4O |
