# SiriusXM Talk Channel Lineup (Includes The Mark Levin Show Mention, No Airtime)

| Channel | Channel Name | Category | Example Programming | Platform | Notes |
| --- | --- | --- | --- | --- | --- |
| 125 | Patriot Talk | Politics | The Mark Levin Show; other hosts | SiriusXM | Programming varies |
| 146 | SiriusXM Spotlight | Talk | Interviews and specials | SiriusXM | Rotating schedule |
| 111 | Triumph | Faith | Religious talk blocks | SiriusXM | Not terrestrial |
| 121 | Family Talk | Talk | Advice and faith programs | SiriusXM | Time slots not shown |
| 127 | The Bridge | Talk | News commentary | SiriusXM | Lineup subject to change |
| 148 | Radio Classics | Entertainment | Classic radio dramas | SiriusXM | Not live talk |
| 103 | ESPN Radio | Sports | Live sports talk | SiriusXM | Regional blackouts |
| 106 | NBC Sports Audio | Sports | Sports talk | SiriusXM | Event-driven |
| 152 | Doctor Radio | Health | Medical shows | SiriusXM | Schedule on app |
| 159 | Business Radio | Business | Market coverage | SiriusXM | No local start times |
