# Global Oil & Gas Companies (Tickers Only) — Large-Cap Snapshot

| Company | Ticker | Exchange | Headquarters | Segment |
| --- | --- | --- | --- | --- |
| Exxon Mobil Corporation | XOM | NYSE | United States | Integrated |
| Chevron Corporation | CVX | NYSE | United States | Integrated |
| BP p.l.c. | BP | NYSE | United Kingdom | Integrated |
| Shell plc | SHEL | NYSE | United Kingdom | Integrated |
| TotalEnergies SE | TTE | NYSE | France | Integrated |
| ConocoPhillips | COP | NYSE | United States | E&P |
| EOG Resources, Inc. | EOG | NYSE | United States | E&P |
| Canadian Natural Resources Ltd. | CNQ | TSX | Canada | E&P |
| Enbridge Inc. | ENB | TSX | Canada | Midstream |
| Kinder Morgan, Inc. | KMI | NYSE | United States | Midstream |
