# List of Roman emperors
> The Principate

| Portrait | Name | Birth | Succession | Reign | Death | Time in office |
| --- | --- | --- | --- | --- | --- | --- |
|  | Maximinus I CAESAR GAIVS IVLIVS VERVS MAXIMINVS AVGVSTVS | c. 173 AD, Thrace or Moesia | Proclaimed emperor by German legions after the murder of Severus Alexander | March 20, 235 AD – June 238 AD | June 238 AD Assassinated by Praetorian Guard | 3 years, 3 months |
|  | Gordian I CAESAR MARCVS ANTONIVS GORDIANVS SEMPRONIANVS AFRICANVS AVGVSTVS | c. 159 AD, Phrygia ? | Proclaimed emperor, whilst Pro-consul in Africa, during a revolt against Maximinus . Ruled jointly with his son Gordian II , and in opposition to Maximinus. Technically a usurper, but retrospectively legitimised by the accession of Gordian III | March 22, 238 AD – April 12, 238 AD | April 238 AD Committed suicide upon hearing of the death of Gordian II . | 21 days |
|  | Gordian II CAESAR MARCVS ANTONIVS GORDIANVS SEMPRONIANVS ROMANVS AFRICANVS AVGVSTVS | c. 192 AD, ? | Proclaimed emperor, alongside father Gordian I , in opposition to Maximinus by act of the Senate. | March 22, 238 AD – April 12, 238 AD | April 238 AD Killed during the Battle of Carthage , fighting a pro- Maximinus army | 21 days |
|  | Pupienus CAESAR MARCVS CLODIVS PVPIENVS MAXIMVS AVGVSTVS | c. 178 AD, ? | Proclaimed joint emperor with Balbinus by the Senate in opposition to Maximinus ; later co-emperor with Balbinus. | April 22, 238 AD – July 29, 238 AD | July 29, 238 AD Assassinated by the Praetorian Guard | 3 months and 7 days |
|  | Balbinus CAESAR DECIMVS CAELIVS CALVINVS BALBINVS PIVS AVGVSTVS | ? | Proclaimed joint emperor with Pupienus by the Senate after death of Gordian I and II , in opposition to Maximinus ; later co-emperor with Pupienus and Gordian III | April 22, 238 AD – July 29, 238 AD | July 29, 238 AD Assassinated by Praetorian Guard | 3 months and 7 days |
|  | Gordian III CAESAR MARCVS ANTONIVS GORDIANVS AVGVSTVS | January 20, 225 AD, Rome | Proclaimed emperor by supporters of Gordian I and II , then by the Senate ; joint emperor with Pupienus and Balbinus until July 238 AD. Grandson of Gordian I | April 22, 238 AD – February 11, 244 AD | February 11, 244 AD Unknown; possibly murdered on orders of Philip I | 5 years, 9 months and 20 days |
|  | Philip I CAESAR MARCVS IVLIVS PHILIPPVS AVGVSTVS with Philip II | c. 204 AD, Shahba , Syria | Praetorian Prefect to Gordian III , took power after his death; made his son Philip II co-emperor in summer 247 AD | February 244 AD – September/October 249 AD | September/October 249 AD Killed in the Battle of Verona by Trajan Decius | 5 years |
|  | Trajan Decius CAESAR GAIVS MESSIVS QVINTVS TRAIANVS DECIVS AVGVSTVS with Herennius Etruscus | c. 201 AD, Budalia , Pannonia Inferior | Governor under Philip I ; proclaimed emperor by Danubian legions then defeating & killing Philip in the Battle of Verona ; made his son Herennius Etruscus co-emperor in early 251 AD | September/ October 249 AD – June 251 AD | June 251 AD Both killed in the Battle of Abrittus fighting against the Goths | 2 years |
|  | Hostilian CAESAR CAIVS VALENS HOSTILIANVS MESSIVS QVINTVS AVGVSTVS | Sirmium | Son of Trajan Decius , accepted as heir by the Senate | June 251 AD – late 251 AD | September/October 251 AD Natural causes ( plague ) | 4–5 months |
|  | Trebonianus Gallus CAESAR GAIVS VIBIVS TREBONIANVS GALLVS AVGVSTVS with Volusianus | 206 AD, Italia | Governor of Moesia Superior , proclaimed emperor by Danubian legions after Trajan Decius 's death (and in opposition to Hostilian ); made his son Volusianus co-emperor in late 251 AD. | June 251 AD – August 253 AD | August 253 AD Assassinated by their own troops, in favour of Aemilian | 2 years |
|  | Aemilian CAESAR MARCVS AEMILIVS AEMILIANVS AVGVSTVS | c. 207 AD Africa | Governor of Moesia Superior , proclaimed emperor by Danubian legions after defeating the Goths ; accepted as emperor after death of Gallus | August 253 AD – October 253 AD | September/October 253 AD Assassinated by his own troops, in favour of Valerian | 2 months |
|  | Valerian CAESAR PVBLIVS LICINIVS VALERIANVS AVGVSTVS | c. 195 AD | Governor of Noricum and Raetia , proclaimed emperor by Rhine legions after death of Gallus ; accepted as emperor after death of Aemilian | October 253 AD – 260 AD | After 260 AD Captured in Battle of Edessa against Persians , died in captivity | 7 years |
|  | Gallienus CAESAR PVBLIVS LICINIVS EGNATIVS GALLIENVS AVGVSTVS with Saloninus | 218 AD | Son of Valerian , made co-emperor in 253 AD; his son Saloninus is very briefly co-emperor in c. July 260 before assassination by Postumus . | October 253 AD – September 268 AD | September 268 AD Murdered at Aquileia by his own commanders. | 15 years |
|  | Claudius Gothicus CAESAR MARCVS AVRELIVS CLAVDIVS AVGVSTVS | May 10, 213 AD/214 AD, Sirmium | Victorious general at Battle of Naissus , seized power after Gallienus 's death | September 268 AD – January 270 AD | January 270 AD Natural causes ( plague ) | 1 year, 4 months |
|  | Quintillus CAESAR MARCVS AVRELIVS CLAVDIVS QVINTILLVS AVGVSTVS | ?, Sirmium | Brother of Claudius Gothicus , seized power after his death | January 270 AD – 270 AD | 270 AD Unclear; possibly suicide or murder | Unknown |
|  | Aurelian CAESAR LVCIVS DOMITIVS AVRELIANVS AVGVSTVS | September 9, 214 AD/215 AD, Sirmium | Proclaimed emperor by Danubian legions after Claudius II 's death, in opposition to Quintillus | September(?) 270 AD – September 275 AD | September 275 AD Assassinated by Praetorian Guard | 5 years |
