# NFL Players by Franchise (Depth Chart Style Listing)

| Franchise (Team) | Player | Position | Status | Player Identifier |
| --- | --- | --- | --- | --- |
| Philadelphia Eagles | Jalen Hurts | QB | Starter | HURTS, J. |
| Philadelphia Eagles | A.J. Brown | WR | Starter | BROWN, A. |
| Philadelphia Eagles | DeVonta Smith | WR | Starter | SMITH, D. |
| Cincinnati Bengals | Joe Burrow | QB | Starter | BURROW, J. |
| Cincinnati Bengals | Ja'Marr Chase | WR | Starter | CHASE, J. |
| Cincinnati Bengals | Tee Higgins | WR | Starter | HIGGINS, T. |
| Los Angeles Rams | Matthew Stafford | QB | Starter | STAFFORD, M. |
| Los Angeles Rams | Cooper Kupp | WR | Starter | KUPP, C. |
| Los Angeles Rams | Aaron Donald | DT | Veteran | DONALD, A. |
