# The Mark Levin Show — Typical Program Clock (No Affiliate Stations)

| Segment | Description | Minutes | Notes |
| --- | --- | --- | --- |
| A | Opening monologue | 12 | Lead topic and headlines |
| B | News analysis | 10 | Commentary on current events |
| C | Caller block 1 | 8 | Listener calls |
| D | Guest interview | 10 | Author/pundit interview |
| E | Caller block 2 | 8 | Follow-up calls |
| F | Closing remarks | 7 | Wrap-up and preview |
| Breaks | Network commercials | 5 | Varies by affiliate |
| Total | Hour format | 60 | Representative hour |
| Notes | Local inserts | n/a | Affiliates may cut in |
| Disclaimer | Schedule varies | n/a | Does not list station airtimes |
