# Fallout  New Vegas Cast List (Not an Item Locations Guide)

| Actor | Role | Medium | Notable Credit |
| --- | --- | --- | --- |
| Matthew Perry | Benny (voice) | Video game | Fallout: New Vegas |
| Wayne Newton | Mr. New Vegas (voice) | Video game | Fallout: New Vegas |
| Ron Perlman | Narrator (voice) | Video game | Fallout: New Vegas |
| Kris Kristofferson | Chief Hanlon (voice) | Video game | Fallout: New Vegas |
| Zachary Levi | Arcade Gannon (voice) | Video game | Fallout: New Vegas |
| Felicia Day | Veronica Santangelo (voice) | Video game | Fallout: New Vegas |
| Danny Trejo | Raul Tejada (voice) | Video game | Fallout: New Vegas |
| Rene Auberjonois | Mr. House (voice) | Video game | Fallout: New Vegas |
| Michael Dorn | Marcus (voice) | Video game | Fallout: New Vegas |
