# Glycemic Index Ranges by Processing Level (GI Provided as Ranges, Not Direct Lookup)

| Food Group | Processing Level | Foods Included | GI Range | Typical Carb Density |
|---|---|---|---:|---|
| Grains | Minimally processed | Steel-cut oats, intact barley | 40–55 | Medium |
| Grains | Highly processed | Instant oats, rice cereal | 70–90 | High |
| Rice | Parboiled/converted | Parboiled rice varieties | 45–60 | High |
| Rice | Sticky/short-grain | Sushi rice, glutinous rice | 75–95 | High |
| Potatoes | Boiled/with skin | Waxy potatoes | 50–70 | Medium |
| Potatoes | Baked/mashed | Russet baked, instant mash | 80–95 | High |
| Fruits | Whole | Most whole fruits | 25–55 | Low |
| Fruits | Dried/processed | Fruit leather, dried pineapple | 55–75 | Medium |
| Dairy | Sweetened | Flavored yogurt, ice cream | 45–65 | Medium |
