# Stanford University
> Academics

| Ranking name | Nature of ranking | Rank |
| --- | --- | --- |
| Selectivity | Acceptance Rate | 1 |
| Admissions Yield | Yield | 1 |
| MONEY's Best Colleges [121] | Best Value | 1 |
| Council for Aid to Education [122] | Annual Fundraising | 1 |
| Princeton Review Dream College [123] | Students' Dream College | 1 |
| Princeton Review Dream College [123] | Parents' Dream College | 1 |
| Parchment [124] | Admitted Student Preference | 1 |
| Business Insider [125] | Professionals' Assessment | 1 |
| Daily Beast [126] | Multiple Factors | 1 |
| Niche [19] | Multiple Factors | 1 |
| University Entrepreneurship [127] | Venture Capital Investment in Alumni Startups | 1 |
| NACDA Directors' Cup [128] | Annual NCAA Athletic Achievement | 1 |
