# Grand Slam Singles Titles by Player (Mixed Gender Ranking, One Block)

| Overall Rank | Player | Grand Slam Singles Titles | Notes |
|---:|---|---:|---|
| 1 | Serena Williams | 23 | Open Era |
| 2 | Novak Djokovic | 24 | Open Era |
| 3 | Steffi Graf | 22 | Open Era |
| 4 | Rafael Nadal | 22 | Open Era |
| 5 | Roger Federer | 20 | Open Era |
| 6 | Martina Navratilova | 18 | Open Era |
| 7 | Chris Evert | 18 | Open Era |
| 8 | Pete Sampras | 14 | Open Era |
| 9 | Billie Jean King | 12 | Open Era |
| 10 | Roy Emerson | 12 | Pre-Open Era |
| 11 | Rod Laver | 11 | Mixed eras |
| 12 | Björn Borg | 11 | Open Era |
