# Competitive Tier List for Super Smash Bros. Ultimate (Tournament Viability, Patch 13.x)

| Tier | Rank Range | Fighter | Viability Score (0-100) | Key Competitive Notes |
| --- | --- | --- | --- | --- |
| S | 1-3 | Steve | 98 | Exceptional resource-based advantage; punishes mistakes heavily |
| S | 1-3 | Sonic | 97 | Extreme mobility and timeout control; strong neutral |
| S | 1-3 | Joker | 96 | Arsene swings matchups; strong conversions |
| A+ | 4-7 | Pyra / Mythra | 94 | Mythra neutral + Pyra kill power; strong overall |
| A+ | 4-7 | Pikachu | 93 | Edgeguarding and pancaking hurtbox; demanding execution |
| A+ | 4-7 | Roy | 92 | Explosive close-range damage; strong ledgetrapping |
| A+ | 4-7 | Palutena | 91 | Consistent tools, strong aerials; reliable top-level pick |
| A | 8-12 | Wolf | 89 | Great fundamentals; strong burst options |
| A | 8-12 | R.O.B. | 88 | Gyro setups; high damage routes; strong disadvantage escapes |
| A | 8-12 | Fox | 87 | High pressure and frame data; can struggle offstage |
| A | 8-12 | Snake | 86 | Trap-based control; matchup-dependent pace control |
| B | 13-18 | Mario | 82 | Strong combos and advantage; shorter range can matter |
| B | 13-18 | Lucina | 81 | Consistency and spacing; fewer “cheese” wins |
| B | 13-18 | Bowser | 80 | High survivability and punishes; combo food at top level |
| B | 13-18 | Samus / Dark Samus | 79 | Zoning and ledgetraps; can be pressured by rushdown |
| C | 19-23 | Kirby | 72 | Limited approach options; matchup spread struggles |
| C | 19-23 | Donkey Kong | 70 | Devastating punishes but exploitable disadvantage |
| C | 19-23 | King K. Rool | 68 | Heavy with projectiles; vulnerable to strong edgeguards |
| D | 24-26 | Little Mac | 60 | Grounded strength but extremely weak offstage |
| D | 24-26 | Ganondorf | 58 | Huge punish game; slow and easily pressured |
| D | 24-26 | Dr. Mario | 56 | Strong hits but poor mobility/recovery limits viability |
