# Window Air Conditioner Pricing Tiers by Brand (No Specific Models)

| Brand | Tier | Typical Capacity Range | Price Range (USD) |
| --- | --- | --- | ---: |
| LG | Budget | 5,000–8,000 BTU | 180–290 |
| LG | Midrange | 8,000–12,000 BTU | 300–450 |
| LG | Premium | 12,000–18,000 BTU | 460–720 |
| Frigidaire | Budget | 5,000–8,000 BTU | 160–270 |
| Frigidaire | Midrange | 8,000–12,000 BTU | 280–420 |
| GE | Budget | 5,000–8,000 BTU | 170–280 |
| GE | Midrange | 8,000–12,000 BTU | 290–440 |
| Midea | Budget | 5,000–8,000 BTU | 150–260 |
| Haier | Budget | 5,000–8,000 BTU | 140–240 |
| Toshiba | Midrange | 8,000–12,000 BTU | 280–430 |
