# Global Home Console Hardware Unit Sales (Lifetime, Ranked)

| Rank | Console | Manufacturer | Launch year | Units sold (lifetime, worldwide, million) |
|---:|---|---|---:|---:|
| 1 | PlayStation 2 | Sony | 2000 | 155.0 |
| 2 | Nintendo Switch | Nintendo | 2017 | 139.0 |
| 3 | PlayStation 4 | Sony | 2013 | 117.0 |
| 4 | PlayStation | Sony | 1994 | 102.5 |
| 5 | Wii | Nintendo | 2006 | 101.6 |
| 6 | PlayStation 3 | Sony | 2006 | 87.4 |
| 7 | Xbox 360 | Microsoft | 2005 | 85.8 |
| 8 | NES | Nintendo | 1983 | 61.9 |
| 9 | SNES | Nintendo | 1990 | 49.1 |
| 10 | Nintendo 64 | Nintendo | 1996 | 32.9 |
| 11 | Xbox | Microsoft | 2001 | 24.0 |
