# Retail FX Rates - Example Bank Branch Counter (Cash Notes)

| Currency | Unit | Bank Buys (You Sell to Bank) | Bank Sells (You Buy from Bank) | Spread (Sell-Buy) | Notes |
| --- | --- | --- | --- | --- | --- |
| USD | 1 | 0.9030 EUR | 0.9345 EUR | 0.0315 | Cash notes |
| GBP | 1 | 1.1560 EUR | 1.1985 EUR | 0.0425 | Cash notes |
| CHF | 1 | 1.0350 EUR | 1.0710 EUR | 0.0360 | Cash notes |
| CAD | 1 | 0.6615 EUR | 0.6860 EUR | 0.0245 | Cash notes |
| AUD | 1 | 0.6040 EUR | 0.6275 EUR | 0.0235 | Cash notes |
| JPY | 100 | 0.5960 EUR | 0.6185 EUR | 0.0225 | Per 100 JPY |
| SEK | 10 | 0.8560 EUR | 0.8890 EUR | 0.0330 | Per 10 SEK |
| NOK | 10 | 0.8430 EUR | 0.8765 EUR | 0.0335 | Per 10 NOK |
| DKK | 10 | 1.2080 EUR | 1.2500 EUR | 0.0420 | Per 10 DKK |
| PLN | 10 | 2.1600 EUR | 2.2550 EUR | 0.0950 | Per 10 PLN |
| CZK | 100 | 3.8200 EUR | 3.9950 EUR | 0.1750 | Per 100 CZK |
