# Alternative and Privacy-Focused Web Browsers and Their Platform Availability

| Browser | Category | Windows | macOS | Linux | Android | iOS/iPadOS | Primary Engine (typical) | Open Source | Notes |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| DuckDuckGo Browser | Privacy-focused | Yes | Yes | No | Yes | Yes | WebView/WebKit (platform-dependent) | No | Integrates tracker blocking and private search |
| Arc | Productivity/UX-focused | Yes | Yes | No | No | Yes | Chromium (desktop) / WebKit (iOS) | No | iOS exists; Linux/Android not commonly available |
| Waterfox | Firefox-derived | Yes | Yes | Yes | No | No | Gecko | Partly | Community-maintained Firefox fork |
| Pale Moon | Firefox-derived | Yes | Yes | Yes | No | No | Goanna | Yes | Focuses on classic UI and add-on model |
| SeaMonkey | Suite browser | Yes | Yes | Yes | No | No | Gecko | Yes | Internet suite including mail and composer |
| GNOME Web (Epiphany) | Linux desktop | No | No | Yes | No | No | WebKitGTK | Yes | GNOME’s default browser on many distros |
| Midori | Lightweight | No | No | Yes | Yes | No | WebKit/varies | Yes | Availability varies by distribution and build |
| Yandex Browser | Chromium-based | Yes | Yes | No | Yes | Yes | Chromium | No | Regional product; sync tied to Yandex services |
| Maxthon | Chromium-based | Yes | Yes | No | Yes | Yes | Chromium | No | Offers cloud features and built-in tools |
| UC Browser | Mobile-focused | No | No | No | Yes | Yes | Proprietary | No | Primarily used on mobile platforms |
