# State Government Debt Limits and Balanced-Budget Rules (Overview by State)

| State | Constitutional debt limit | Voter approval required for GO bonds | Balanced-budget requirement | Notable legal constraint |
|---|---|---|---|---|
| California | No strict limit (varies) | Often | Yes | Limits may apply to certain funds |
| Texas | Limited by constitution | Often | Yes | Debt payable from taxes constrained |
| New York | Debt cap formula | Yes | Yes | Caps tied to personal income |
| Illinois | Limited (varies) | Often | Yes | Pension obligations treated separately |
| Florida | Limited | Yes | Yes | Revenue bonds treated differently |
| Colorado | Strict (TABOR-related) | Yes | Yes | Taxpayer consent rules |
| Washington | Statutory cap | Yes | Yes | Cap based on general state revenues |
| Virginia | Advisory ratios | Often | Yes | Planning guidelines for issuance |
| Massachusetts | Statutory controls | Often | Yes | Authorization requirements |
| Ohio | Limited | Often | Yes | Separate rules for localities |
| Oregon | Limited | Yes | Yes | GO debt limits by constitution |
| Utah | Limited | Yes | Yes | Constraints on general obligation debt |
