# List of In Living Color episodes
> Episodes

| No. in Series | No. in Season | Air Date | Sketches |
| --- | --- | --- | --- |
| 102 | 1 | 16 September 1993 | " Ike Turner Strikes Back" (a.k.a "You Done Lied; Nothin's True to It") (cut from DVD) "Russell Simmons' Def Strawberry Jam" " Seinfeld in the 'Hood " "Kim & Sammy: Korean Grocer Puppet" "Ugly Wanda: Wanda Gives Birth" |
| 103 | 2 | 23 September 1993 | " Michael Jackson : Little Billy's Not My Lover" (cut from DVD) "The Dirty Dozens Game Show" (with show writer Nick Bakay as Stu Dunfy)" "Ball Park Breast and Butt Implants" "Baptist Church Revival Olympics" "Fire Marshal Bill at the Hospital" |
| 104 | 3 | 30 September 1993 | "Snow: Impostor" (cut from DVD) " Ike Turner & Hooch/FOX News Special Report: The Reginald Denny Riots" "The Honeymooners " '93 : New Jack Swing Dancing "Cheap Pete at the Convenience Store" with guest Chris Rock "Ace and Main Man" Meet Tupac |
| 105 | 4 | 7 October 1993 | "Loomis Simmons: Knock You Up" "Prison Cable Network: Mr. Cell Block Beauty Pageant " (cut from DVD) "An Apology from the Denny's Spokeswomen" " Unpoetic Justice " "Carl 'The Tooth' Williams: Shot at the Title" "Funky Finger Productions" a.k.a. "B.S. Brothers: Talk Show" |
| 106 | 5 | 14 October 1993 | "The Los Angeles Riots Anniversary Show" (cut from DVD; the FXX version inexplicably cuts out the beginning of Rodney King's song near the end where he mentions driving down Foothill Boulevard) " NBA Fan Harasses Player" with guest Chris Rock "The Depressed Irish Singer at the Mental Hospital" "FOX Sports: The Anorexic Sumo Wrestler " "Deronda and Pookie Play Family" "Wanda and her Baby, Part 2: The Detective" "MTV Unplugged: Jodeci" (cut from DVD) |
| 107 | 6 | 21 October 1993 | "Hag Team: Droop! There It Is" (cut from DVD) " Rush and Al 's Big and Loud Men's Clothes Store" "Background Guy: The FOX Newsroom" "A Few Minutes with Randy Rooney " (a.k.a. "What If Andy Rooney Were Black?") "Cheap Pete at the Bar" with guest Chris Rock "Ace and the Main Man" with guest star Marsha Warfield Close featuring Jazzmatazz |
| 108 | 7 | 28 October 1993 | "Wanda and Her Baby, Part 3: Wanda Writes in her Diary" "Carl 'The Tooth' Williams: Rocky Parody" (cut from DVD) "Circus of the Black Stars" "Magnifico Lets Himself Go" "Fire Marshal Bill: Magic Show Safety" (the FXX reruns edit out Fire Marshall Bill's line that implies he and an Arab man named Abdul were involved with the 1993 bombing of the World Trade Center) Close featuring Leaders of the New School |
| 109 | 8 | 4 November 1993 | "Wanda and Her Baby, Part 4A: Ugly Wanda at the Door" "HBO's Sam Kinison : Live From Hell" " AT&T Frequent Caller Plan" (a.k.a "Tiny the Obscene Phone Caller") "Wanda and Her Baby, Part 4B: Ugly Wanda at the Door" "Insensitive Therapist (a.k.a. Dr. Inappropriato)" "The Dirty Dozens II" "Wanda and Her Baby, Part 4C: Ugly Wanda at the Door" Close featuring Lords of the Underground |
| 110 | 9 | 11 November 1993 | "Rush and Al's 'Can't We All Just Sweat Along?' Gym and Home Fitness Program" "All Up In The Family: Gloria's Jamaican Boyfriend" "The Waiter Who Knows Too Many Specials" "Wanda and Her Baby: Wanda Meets Barry Bonds " "East Hollywood Squares II" with guests Peter Marshall and Gary Coleman |
| 111 | 10 | 18 November 1993 | "The Background Guy: Streetside Crime Scene" "Wile E. Coyote: Cartoon Violence Trial" " Go On Girl : Madonna's Effect on Women's Progress" "Candy Cane Kids Show: Candy and Benny the Dinosaur" "The Honeymooners '93" : The New Boss |
| 112 | 11 | 2 December 1993 | "Vera DeMilo: I Need a Buffneck" (cut from DVD) "Pavarotti's New Back-Up Singers (cut from DVD) "Carl the Tooth Williams Parachutes In" "What If The Menendez Brothers Were Black?" " Lorena Bobbit for the Deboner 2000" "Sammy and the Man: The Police Officer Puppet" "Umbilical Barry at the College Party" Close featuring Us3 |
| 113 | 12 | 16 December 1993 | " B.E.T. Fall Lineup: The Mary Tyler Mo' Sho' "Loomis Simmons: Custom Built Condoms" "Depressed Irish Singer at the Men's Homeless Shelter" " Geraldo : Illegitimate Black Children of White Celebrities" "Ace and Main Man Meet Johnny Gill " Close featuring Patra and guest vocal Lyn Collins |
| 114 | 13 | 30 December 1993 | " Joe Jackson 's Never Neverland Sale" "Mr. Armstrong, The Dead-Armed Substitute Teacher" "A Few Minutes with Randy Rooney" "Deronda and Pookie Play Office" "Wheel of Dozens" |
| 115 | 14 | 13 January 1994 | "Sister Act 3: This Ain't Kosher" "Background Guy: Bigfoot Sighting Report" "The Gangsta Group" "The Waiter Who Knows Way Too Many Specials: Airline Meals" "Grandpa and Duke the Dead Dog: Police Dog Training" |
| 116 | 15 | 27 January 1994 | " Marlee Matlin Sings & Raps Deaf Def Jams" (cut from DVD) "Cheap Pete On A Date" with guest Chris Rock "AWF's Tag-Team Wrestling: Rush & Al vs. Howard Stern & Robin Quivers" "East Hollywood Squares" with guests Peter Marshall and Fred Berry |
| 117 | 16 | 3 February 1994 | "Tonya Harding for The Club" "All Up In The Family: Cross-Eyed Boss' White Wife" "John Bobbit: The New Six Million Dollar Man" "Hemorrhoid Guy: Stuck in the Operating Room" with Chris Rock as Cheap Pete "Ugly Wanda and Her Uglier Sister" (featuring Biz Markie as Wanda's uglier sister) |
| 118 | 17 | 10 February 1994 | "Tonya Harding: Mark Jackson Free Throw" "The B.S. Brothers Pitch Shoes" with Patrick Ewing cameo "Rap Masterpiece Theater: Rap Lyric Dramatic Readings" (cut from DVD) "The White League" with Roy Firestone cameo "Run PMS: Wanna Man" (cut from DVD) "Ace And Main Man Meet Kareem Abdul-Jabbar " "Close featuring Shaquille O'Neal |
| 119 | 18 | 17 February 1994 | "Mrs Ikefire" "East Hollywood Squares III" with guest Peter Marshall "Background Guy: Spring Break Report" "Dirty Dozens Home Game" "Fire Marshall Bill: Honeymoon Hotel" |
| 120 | 19 | 24 February 1994 | "Risky Business II: The Menendez Brothers" (cut from DVD) "Carl 'The Tooth' Williams's Paternity Suit" with Biz Markie "San Francisco" ( Philadelphia parody) with Chris Rock as one of the gay attorneys "Dirty Dozens Tournament Of Champions" with Biz Markie as one of the contestants and Ed O'Neill as himself |
| 121 | 20 | 10 March 1994 | "Dr Kervorkian's Home Remedies" "Great Moments In Black History: The First Def Comedy Jam" "Thugs" (parody of COPS . Coincidentally, Saturday Night Live had a similar sketch on the season 19 episode hosted by Martin Lawrence) "Proud Gay Man at a Burger Joint" "Sweet Tooth Jones: The Hollywood School of Self-Defense" "Close featuring Simplē E |
| 122 | 21 | 24 March 1994 | "Loomis Simmons: Make Him Jealous!" "66th Annual Academy Awards Highlights" "Grandpa and Duke: Beethoven's Sidekick Audition" "Cheap Pete Gets Married" with guest Chris Rock "Umbilical Barry Rides the Subway" "Hemorrhoid Patient: Stuck in the Hallway" "Close featuring Eazy-E |
| 123 | 22 | 7 April 1994 | "Rush And Al's Greatest Hits" (cut from DVD) "Cheap Pete At The Carnival" with guest Chris Rock "Loomis Simmons: Let Me Harass You!" "The Scary Larry Show" (a.k.a. The Vietnam Vet Kids' Show Host) "East Hollywood Squares IV" with guest Peter Marshall "Close featuring Souls of Mischief |
| 124 | 23 | 28 April 1994 | "Snoop Dogg: Drivin' Down the Street" (cut from DVD) "Sweet Tooth Jones: Sexual Harassment Seminar" " Michael Jackson at Disneyworld" (cut from DVD) "Ed Baker, The Insensitive Guidance Counselor" (featuring Biz Markie as student Marlin Kane) "Ugly Wanda: Bachelor Auction" (featuring Luther Vandross as himself) "Close featuring Bo$$ |
| 125 | 24 | 5 May 1994 | "Rap Masterpiece Theatre: Rap Lyric Dramatic Readings II" (cut from DVD) "Candy Cane: Candy Gets Replaced" "The Waiter in the Diner " (cut from DVD) "Chris Rock's Speech" (cut from DVD) "Grandpa & Duke the Dead Dog: A Time for Love" "Family Dozens" |
| 126 | 25 | 12 May 1994 | "Mustang Brothel for Vista Credit Cards" "Wile E. Coyote's Mall Appearance" "Infomercial Awards" "All Up in the Family: Gay Barney" "Deronda and Pookie Play Party" "The B.S. Brothers: Gangsta Rappers" "Close featuring Me'Shell NdegeOcello |
| 127 | 26 | 19 May 1994 | "Background Guy: Haunted House Report" (cut from DVD) "The Champ Goes Back to School" "Prison Cable Network: Lights Out with the Angel" "Ace and Main Man Meet Salt 'n' Pepa." "Close featuring 'To Be Continued...' |
