# Deer Resistance by Plant Category (Aggregated, Not Individual Plants)

| Plant Category | Example Plants (Non-exhaustive) | Typical Deer Resistance | Caveats |
| --- | --- | --- | --- |
| Shrubs | boxwood, spirea, hydrangea | Medium | Cultivar and local deer pressure change outcomes |
| Perennials | salvia, coneflower, hosta | Low to Medium | Some (e.g., hosta) are often heavily browsed |
| Bulbs | daffodil, tulip, crocus | Medium | Tulips often browsed; daffodils less so |
| Trees | spruce, maple, crabapple | Medium | Young trees need protection |
| Groundcovers | pachysandra, ivy, vinca | Medium | Can be browsed in winter |
| Annuals | marigold, impatiens, coleus | Low | Tender annuals are frequently sampled |
| Grasses | fescue, miscanthus | Medium to High | New shoots may still be nibbled |
| Vines | clematis, honeysuckle | Low to Medium | New growth is attractive |
| Herbs | rosemary, thyme, basil | Medium to High | Aromatic oils can deter browsing |
| Ferns | ostrich fern, lady fern | Medium | Deer may browse unfurling fronds |
