# Leader of the Opposition ( New Brunswick )
> List of opposition leaders

|  | Name | Party | Took Office | Left Office |
| --- | --- | --- | --- |
|  | Andrew G. Blair | Liberal | 1879 | 1883 |
|  | Daniel L. Hanington | Conservative | 1883 | 1892 |
|  | Alfred Augustus Stockton | Conservative | 1892 | 1899 |
|  | John Douglas Hazen | Conservative | 1899 | 1908 |
|  | Clifford W. Robinson | Liberal | 1908 | 1912 |
|  | Arthur Bliss Copp | Liberal | 1912 | 1912 |
|  | Louis-Auguste Dugal | Liberal | 1912 | 1917 |
|  | James Alexander Murray | Conservative | 1917 | 1920 |
|  | John B. M. Baxter | Conservative | 1920 | 1921 |
|  | Charles D. Richards | Conservative | 1921 | 1925 |
|  | Peter Veniot | Liberal | 1925 | 1926 |
|  | Allison Dysart | Liberal | 1926 | 1935 |
|  | Frederick C. Squires | Conservative | 1935 | 1939 |
|  | Hugh H. Mackay | Progressive Conservative | 1940 | 1948 |
|  | Hugh John Flemming | Progressive Conservative | 1949 | 1952 |
|  | Austin Claude Taylor | Liberal | 1952 | 1957 |
|  | Joseph E. Connolly | Liberal | 1957 | 1958 |
|  | Louis Robichaud | Liberal | 1958 | 1960 |
|  | Hugh John Flemming | Progressive Conservative | 1960 | 1960 |
|  | Cyril Sherwood | Progressive Conservative | 1960 | 1966 |
|  | Charles Van Horne | Progressive Conservative | 1967 | 1967 |
|  | Richard Hatfield | Progressive Conservative | 1967 | 1970 |
|  | Louis Robichaud | Liberal | 1970 | 1971 |
|  | Robert Higgins | Liberal | 1971 | 1978 |
|  | Joseph Daigle | Liberal | 1978 | 1981 |
|  | Doug Young | Liberal | 1982 | 1983 |
|  | Ray Frenette | Liberal | 1983 | 1985 |
|  | Shirley Dysart | Liberal | 1985 | 1985 |
|  | Frank McKenna | Liberal | 1985 | 1987 |
|  | Camille Thériault [1] | Liberal | 1987 | 1991 |
|  | Danny Cameron | Confederation of Regions | 1991 | 1995 |
|  | Ab Rector | Confederation of Regions | 1995 | 1995 |
|  | Greg Hargrove | Confederation of Regions | 1995 | 1995 |
|  | Bernard Valcourt | Progressive Conservative | 1995 | 1997 |
|  | Elvy Robichaud | Progressive Conservative | 1997 | 1998 |
|  | Bernard Lord | Progressive Conservative | 1998 | 1999 |
|  | Camille Theriault | Liberal | 1999 | 2001 |
|  | Bernard Richard | Liberal | 2001 | 2002 |
|  | Shawn Graham | Liberal | 2002 | 2006 |
|  | Bernard Lord | Progressive Conservative | 2006 | 2007 |
|  | Jeannot Volpé | Progressive Conservative | 2007 | 2008 |
|  | David Alward | Progressive Conservative | 2008 | 2010 |
|  | Victor Boudreau | Liberal | 2010 | 2013 |
|  | Brian Gallant | Liberal | 2013 | 2014 |
|  | Bruce Fitch | Progressive Conservative | 2014 | present |
