# German Prepositions by Case (with Article Endings Examples)

| Case group | Preposition | Example phrase | Article/pronoun form shown |
| --- | --- | --- | --- |
| Accusative | für | für **den** Hund | der → den (m. acc.) |
| Accusative | ohne | ohne **mich** | ich → mich |
| Accusative | gegen | gegen **das** Licht | das → das (n. acc.) |
| Dative | mit | mit **dem** Auto | der → dem (m. dat.) |
| Dative | nach | nach **der** Arbeit | die → der (f. dat.) |
| Dative | bei | bei **ihm** | er → ihm |
| Genitive | während | während **des** Urlaubs | der → des (m. gen.) |
| Genitive | wegen | wegen **meiner** Schwester | ich → meiner |
| Genitive | trotz | trotz **des** Regens | der → des (m. gen.) |
