# Average Teaching Salary in New York   TeachingDegree.org

| Occupation | Annual mean wage in New York |
| --- | ---: |
| Preschool Teachers, Except Special Education | $40,910 |
| Kindergarten Teachers, Except Special Education | $92,430 |
| Elementary School Teachers, Except Special Education | $94,870 |
| Middle School Teachers, Except Special and Career/Technical Education | $96,540 |
| Secondary School Teachers, Except Special and Career/Technical Education | $97,980 |
| Career/Technical Education Teachers, Secondary School | $92,610 |
| Special Education Teachers, Preschool | $82,740 |
| Special Education Teachers, Kindergarten and Elementary School | $92,350 |
| Special Education Teachers, Middle School | $94,120 |
| Special Education Teachers, Secondary School | $95,330 |
