# State-by-state lookup  Minor League Baseball teams (explicit State column for each team)

| State | Team | City | Level | League | MLB Affiliation |
|---|---|---|---|---|---|
| Alabama | Rocket City Trash Pandas | Madison | AA | Southern League | Los Angeles Angels |
| Alabama | Birmingham Barons | Birmingham | AA | Southern League | Chicago White Sox |
| Indiana | Indianapolis Indians | Indianapolis | AAA | International League | Pittsburgh Pirates |
| Iowa | Iowa Cubs | Des Moines | AAA | International League | Chicago Cubs |
| Kentucky | Louisville Bats | Louisville | AAA | International League | Cincinnati Reds |
| Massachusetts | Worcester Red Sox | Worcester | AAA | International League | Boston Red Sox |
| Nevada | Las Vegas Aviators | Las Vegas | AAA | Pacific Coast League | Oakland Athletics |
| New Hampshire | New Hampshire Fisher Cats | Manchester | AA | Eastern League | Toronto Blue Jays |
| Tennessee | Tennessee Smokies | Kodak | AA | Southern League | Chicago Cubs |
