# Entry Health Certificate Checklist by Country — Documents and Tests (Not Vaccine Requirement Status)

| Destination Country | Health Document Type | What It Covers | When Checked | Example Evidence |
| --- | --- | --- | --- | --- |
| Kenya | Health declaration form | Symptoms/exposure history | Arrival | Online form/QR code |
| Kenya | Yellow fever certificate | Proof of vaccination | Border control | International Certificate of Vaccination |
| South Africa | Proof of insurance | Medical coverage | Airline check-in | Policy certificate |
| Indonesia | COVID-19 test result (historical) | PCR/antigen result | Airline check-in | Lab report |
| Philippines | eTravel registration | Arrival registration | Arrival | Confirmation email |
| Brazil | Yellow fever certificate | Proof of vaccination | Arrival | Vaccination card/certificate |
| India | Health screening slip | Temperature/symptom screening | Arrival | Screening stamp |
| Tanzania | Yellow fever certificate | Proof of vaccination | Border control | International certificate |
| Egypt | Visa medical form | General health questions | Visa/arrival | Form copy |
