# Mazda3 Wheel & Tire Fitment by Year (Rim Specs, PCD Bolt Pattern, Offset)

| Model | Year | Rim Size (in) | Rim Width | Bolt Pattern / PCD | Offset (ET) | Center Bore (mm) |
| --- | ---: | --- | --- | --- | --- | ---: |
| Mazda3 Sedan/Hatch (BK) | 2004 | 16 | 6.5J | 5x114.3 | ET52.5 | 67.1 |
| Mazda3 Sedan/Hatch (BK) | 2005 | 16 | 6.5J | 5x114.3 | ET52.5 | 67.1 |
| Mazda3 Sedan/Hatch (BK) | 2006 | 16 | 6.5J | 5x114.3 | ET52.5 | 67.1 |
| Mazda3 Sedan/Hatch (BK) | 2007 | 17 | 7J | 5x114.3 | ET52.5 | 67.1 |
| Mazda3 Sedan/Hatch (BK) | 2008 | 17 | 7J | 5x114.3 | ET52.5 | 67.1 |
| Mazda3 Sedan/Hatch (BL) | 2009 | 16 | 6.5J | 5x114.3 | ET50 | 67.1 |
| Mazda3 Sedan/Hatch (BL) | 2010 | 17 | 7J | 5x114.3 | ET50 | 67.1 |
| Mazda3 Sedan/Hatch (BL) | 2011 | 17 | 7J | 5x114.3 | ET50 | 67.1 |
| Mazda3 Sedan/Hatch (BL) | 2012 | 17 | 7J | 5x114.3 | ET50 | 67.1 |
| Mazda3 Sedan/Hatch (BL) | 2013 | 18 | 7.5J | 5x114.3 | ET50 | 67.1 |
