# Minor League Baseball Teams in the Southeast by State (Teams with Clear Location Context)

| State | City | Team | League / Level | Home Venue |
| --- | --- | --- | --- | --- |
| Florida | Pensacola | Pensacola Blue Wahoos | MiLB Double-A | Blue Wahoos Stadium |
| Florida | Jacksonville | Jacksonville Jumbo Shrimp | MiLB Triple-A | VyStar Ballpark |
| Florida | Bradenton | Bradenton Marauders | MiLB Single-A | LECOM Park |
| Georgia | Gwinnett | Gwinnett Stripers | MiLB Triple-A | Coolray Field |
| Georgia | Rome | Rome Emperors | MiLB High-A | AdventHealth Stadium |
| North Carolina | Durham | Durham Bulls | MiLB Triple-A | Durham Bulls Athletic Park |
| North Carolina | Charlotte | Charlotte Knights | MiLB Triple-A | Truist Field |
| South Carolina | Charleston | Charleston RiverDogs | MiLB Single-A | Joseph P. Riley Jr. Park |
| South Carolina | Greenville | Greenville Drive | MiLB High-A | Fluor Field |
| Tennessee | Nashville | Nashville Sounds | MiLB Triple-A | First Horizon Park |
| Tennessee | Chattanooga | Chattanooga Lookouts | MiLB Double-A | AT&T Field |
| Virginia | Norfolk | Norfolk Tides | MiLB Triple-A | Harbor Park |
