# NHL Presidents’ Trophy Winners  Playoff Results (2005–06 to 2014–15)

| Season | Presidents’ Trophy Winner | Playoff Result (Round Reached) | Eliminated By / Stanley Cup Outcome | Stanley Cup Champion? |
|---|---|---|---|---|
| 2005–06 | Detroit Red Wings | Lost in First Round | Edmonton Oilers | No |
| 2006–07 | Buffalo Sabres | Lost in Eastern Conference Final | Ottawa Senators | No |
| 2007–08 | Detroit Red Wings | Won Stanley Cup | Defeated Pittsburgh Penguins in Final | Yes |
| 2008–09 | San Jose Sharks | Lost in First Round | Anaheim Ducks | No |
| 2009–10 | Washington Capitals | Lost in First Round | Montreal Canadiens | No |
| 2010–11 | Vancouver Canucks | Lost in Stanley Cup Final | Boston Bruins | No |
| 2011–12 | Vancouver Canucks | Lost in First Round | Los Angeles Kings | No |
| 2012–13 | Chicago Blackhawks | Won Stanley Cup | Defeated Boston Bruins in Final | Yes |
| 2013–14 | Boston Bruins | Lost in Second Round | Montreal Canadiens | No |
| 2014–15 | New York Rangers | Lost in Eastern Conference Final | Tampa Bay Lightning | No |
