# Sports in Houston
> Minor league and semi-pro sports

| Club | League | Sport | Venue | Founded | Titles |
| --- | --- | --- | --- | --- | --- |
| Houston Energy | IWFL | Women's football | The Rig | 2000 | 3 (2000, 2001, 2002) |
| Houston Power | WFA | Women's football | Guy K. Traylor Stadium | 2010 | 0 |
| Sugar Land Skeeters | ALPB | Baseball | Constellation Field | 2010 | 1 (2016) |
| Houston Ducks | TUFA | American football | TBD | 2012 | 0 |
| Texas Colts | DTFA | American football | Lindsey Lyons Sportsplex | 2005 | 2 (2014, 2016) |
| Houston Aces | UWS | Women's soccer | Houston Baptist University | 2012 | 0 |
| Houston Xperience | ABA | Basketball | Lone Star College-Kingwood | 2011 | 0 |
| Houston Roller Derby | WFTDA | Roller derby | Bayou Music Center | 2005 | 0 |
| Houston Bounty Hunters | NDL | Dodgeball | TBD | 2009 | 0 |
| Houston Hornets | USARL | Rugby League Football | TBD | 2011 | 0 |
| Houston Venom | MLRH | In-line hockey | TBD | 2013 | 0 |
| Houston Hurricanes FC | TPSL | Soccer | Lutheran South Academy | 2012 | 0 |
| Houston Dutch Lions | NPSL | Soccer | Woodforest Bank Stadium | 2011 | 0 |
| Houston Lonestars | USAFL | Australian rules football | TBD | 2005 | 0 |
| Houston Warriors | UBA | Basketball | TBD | 2010 | 0 |
| Houston Spirit | UBL | Basketball | TBD | 2008 | 0 |
| Houston South Select | WPSL | Women's soccer | San Jacinto College | 2007 | 0 |
| Regals SCA | NPSL | Soccer | Primavera Soccer Complex | 2009 | 1 (2013–14) |
| Houston Inferno | BBA | Women's basketball | Delmar Fieldhouse | 2013 | 0 |
| Houston Sparks | WBCBL | Women's basketball | TBD | 2013 | 0 |
| Houston Horned Frogs | CBDL | Basketball | TBD | 2014 | 0 |
| Galveston Pirate SC | TPSL | Soccer | TBD | 1916 | 0 |
| Sugar Land Legends | ABA | Basketball | Wheeler Fieldhouse | 2012 | 0 |
| The Woodlands Strykers | TCL | Baseball | The Woodlands Christian Academy Stadium | 2012 | 0 |
| Bayou Warriors | UBA | Basketball | TBD | 2012 | 0 |
| Houston Vanity | UWF | Women's American football | TBD | 2014 | 0 |
| Houston Lady Oilers | WAFL | Women's American football | TBD | 2012 | 0 |
| Lady Houston Panthers | LAFL | Women's American football | Kick's Indoor Soccer Stadium | 2012 | 0 |
| Texas Lady Jaguars | SSFL | Women's American football | Texas Indoor Soccer Arena | 2014 | 1 (2015) |
| Houston Guardians | DCI | Drum and Bugle Corps | TBD | 2012 | 0 |
| Houston Hotshots | PASL | Indoor soccer | Horizon Indoor Sports | 2015 | 0 |
| The Woodlands Wildcats | IWFL | Women's American football | Woodforest Bank Stadium | 2016 | 0 |
| Houston Rebels | USWFL | Women's American football | TBD | 2015 | 0 |
| Houston Venus | SSFL | Women's American football | TBD | 2012 | 0 |
| Houston Mud Turtles | USAU | Ultimate Frisbee | TBD | 2016 | 0 |
