# Demographics of Tajikistan
> Vital statistics

|  | Average population (x 1000) | Live births in thousands | Deaths in thousands | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) |
| --- | --- | --- | --- | --- | --- | --- |
| 1950 | 1531,7 | 46,571 | 12,543 | 34,028 | 30.4 | 8.2 | 22.2 |
| 1951 | 1586,8 | 48,407 | 12,384 | 36,023 | 30.5 | 7.8 | 22.7 |
| 1952 | 1642,5 | 54,931 | 12,562 | 42,369 | 33.4 | 7.6 | 25.8 |
| 1953 | 1685,8 | 54,697 | 14,530 | 40,167 | 32.4 | 8.6 | 23.8 |
| 1954 | 1731,7 | 56,946 | 13,045 | 43,901 | 32.9 | 7.5 | 25.4 |
| 1955 | 1782,8 | 60,335 | 15,812 | 44,523 | 33.8 | 8.9 | 25.0 |
| 1956 | 1838,4 | 62,960 | 10,894 | 52,066 | 34.2 | 5.9 | 28.3 |
| 1957 | 1900,4 | 62,966 | 10,838 | 52,128 | 33.1 | 5.7 | 27.4 |
| 1958 | 1955,0 | 56,826 | 11,548 | 45,278 | 29.1 | 5.9 | 23.2 |
| 1959 | 2011,4 | 60,978 | 11,024 | 49,954 | 30.3 | 5.5 | 24.8 |
| 1960 | 2082,5 | 69,715 | 10,670 | 59,045 | 33.5 | 5.1 | 28.4 |
| 1961 | 2165,9 | 73,653 | 11,035 | 62,618 | 34.0 | 5.1 | 28.9 |
| 1962 | 2255,9 | 75,909 | 13,001 | 62,908 | 33.6 | 5.8 | 27.8 |
| 1963 | 2341,8 | 80,733 | 13,042 | 67,691 | 34.5 | 5.6 | 28.9 |
| 1964 | 2426,1 | 84,300 | 13,132 | 71,168 | 34.7 | 5.4 | 29.3 |
| 1965 | 2512,4 | 92,448 | 16,474 | 75,974 | 36.8 | 6.6 | 30.2 |
| 1966 | 2594,2 | 91,825 | 15,491 | 76,334 | 35.4 | 6.0 | 29.4 |
| 1967 | 2673,8 | 93,988 | 17,546 | 76,442 | 35.2 | 6.6 | 28.6 |
| 1968 | 2761,0 | 101,462 | 16,577 | 84,885 | 36.7 | 6.0 | 30.7 |
| 1969 | 2851,5 | 98,831 | 17,390 | 81,441 | 34.7 | 6.1 | 28.6 |
| 1970 | 2942,1 | 102,201 | 18,686 | 83,515 | 34.8 | 6.4 | 28.4 |
| 1971 | 3044,4 | 111,839 | 17,173 | 94,666 | 36.8 | 5.7 | 31.1 |
| 1972 | 3148,2 | 111,069 | 19,895 | 91,174 | 35.3 | 6.3 | 29.0 |
| 1973 | 3244,4 | 115,157 | 23,343 | 91,814 | 35.5 | 7.2 | 28.3 |
| 1974 | 3344,8 | 123,338 | 24,923 | 98,415 | 36.9 | 7.5 | 29.4 |
| 1975 | 3446,6 | 127,464 | 27,965 | 99,499 | 37.0 | 8.1 | 28.9 |
| 1976 | 3549,3 | 135,243 | 30,101 | 105,142 | 38.2 | 8.5 | 29.7 |
| 1977 | 3652,9 | 132,875 | 32,110 | 100,765 | 36.4 | 8.8 | 27.6 |
| 1978 | 3752,7 | 140,622 | 31,048 | 109,574 | 37.5 | 8.3 | 29.2 |
| 1979 | 3852,2 | 145,431 | 29,822 | 115,609 | 37.8 | 7.7 | 30.1 |
