# Starbucks Coffee, Tea, and Caffeine-Free Drinks  Caffeine by Cup Size

| Category | Drink (Starbucks) | Short (8 fl oz) | Tall (12 fl oz) | Grande (16 fl oz) | Venti (20 fl oz) | Caffeine-Free / Decaf Indicator |
| --- | --- | ---: | ---: | ---: | ---: | --- |
| Brewed coffee | Brewed Coffee (Pike Place Roast) | 180 mg | 260 mg | 310 mg | 410 mg | Regular |
| Brewed coffee | Brewed Decaf Coffee | 15 mg | 20 mg | 25 mg | 30 mg | Decaf (low caffeine) |
| Brewed coffee | Cold Brew Coffee | — | 155 mg | 205 mg | 310 mg | Regular |
| Tea (hot) | Chai Tea Latte | 25 mg | 40 mg | 65 mg | 95 mg | Regular (tea-based) |
| Tea (hot) | Earl Grey Tea | 25 mg | 40 mg | 55 mg | 70 mg | Regular |
| Tea (herbal) | Mint Herbal Tea | 0 mg | 0 mg | 0 mg | 0 mg | Caffeine-free |
| Kids/other | Steamed Milk | 0 mg | 0 mg | 0 mg | 0 mg | Caffeine-free |
| Chocolate | White Hot Chocolate | 0 mg | 0 mg | 0 mg | 0 mg | Caffeine-free |
| Chocolate | Hot Chocolate | 10 mg | 15 mg | 20 mg | 25 mg | Low caffeine (cocoa) |
