# Marcella (TV Series, 2016–) - Crew List by Department (Selected) - IMDb

| Department | Job | Person | Episodes |
| --- | --- | --- | --- |
| Directing | Series Director | Hans Rosenfeldt | 8 episodes |
| Directing | Director | Charles Martin | 4 episodes |
| Writing | Creator | Hans Rosenfeldt | Series creator |
| Writing | Writer | Neil Biswas | 6 episodes |
| Producing | Executive Producer | Anna Friel | 8 episodes |
| Producing | Producer | Kevin Loader | 8 episodes |
| Production Management | Production Manager | Louise Glover | 8 episodes |
| Cinematography | Director of Photography | Julian Court | 8 episodes |
| Editing | Editor | Philip Hookway | 8 episodes |
| Casting | Casting Director | Kelly Valentine Hendry | 8 episodes |
