# London Stock Exchange (LSE) — Intraday Trade Tape (Time, Executed Price, Trade Volume)

| Time/Date | Executed Price (GBX) | Trade Volume |
| --- | ---: | ---: |
| 2026-01-19 08:00:11 | 9,462.0 | 1,205 |
| 2026-01-19 08:01:05 | 9,458.5 | 320 |
| 2026-01-19 08:02:44 | 9,465.0 | 150 |
| 2026-01-19 08:04:12 | 9,470.5 | 610 |
| 2026-01-19 08:06:33 | 9,468.0 | 95 |
| 2026-01-19 08:09:57 | 9,473.0 | 2,000 |
| 2026-01-19 08:12:20 | 9,469.5 | 400 |
| 2026-01-19 08:15:48 | 9,476.0 | 1,120 |
| 2026-01-19 08:19:03 | 9,480.0 | 275 |
