# Scratch-Off Game — Prize Table with Remaining Prizes and Implied Odds

| Prize amount | Total printed prizes | Remaining prizes | Approx. odds (any ticket) | Notes |
|---:|---:|---:|---:|---|
| $1,000,000 | 4 | 1 | 1 in 3,500,000 | Remaining prizes updated weekly |
| $50,000 | 20 | 6 | 1 in 700,000 | Regional distribution may vary |
| $5,000 | 200 | 55 | 1 in 70,000 | Claimed prizes removed from counts |
| $500 | 3,000 | 780 | 1 in 4,667 | Based on total tickets printed |
| $50 | 50,000 | 12,200 | 1 in 280 | Lower-tier prizes claimed quickly |
| $10 | 250,000 | 61,000 | 1 in 56 | — |
| $5 | 400,000 | 95,000 | 1 in 35 | — |
| $2 | 600,000 | 120,000 | 1 in 23 | — |
| Any prize | — | — | 1 in 4.10 | Overall odds include break-even prizes |
| Ticket price | $5 | — | — | Higher price does not guarantee better odds |
