# Bottled Water Brand Matrix (No pH Values Included)

| Brand | Bottle Size (mL) | Water Type | Source Region | Treatment/Process | Taste Notes |
| --- | --- | --- | --- | --- | --- |
| Evian | 500 | Spring water | France | Natural filtration | Crisp, light minerals |
| Fiji | 500 | Artesian water | Fiji | Natural artesian aquifer | Soft, smooth |
| Essentia | 1000 | Purified water | USA | Ionization + electrolytes | Clean, slightly “slick” |
| Smartwater | 700 | Vapor-distilled | USA | Distillation + added minerals | Neutral, clean |
| Poland Spring | 500 | Spring water | USA | Ozonation | Mild minerals |
| Icelandic Glacial | 500 | Spring water | Iceland | Natural filtration | Very clean |
| Perrier | 330 | Sparkling mineral water | France | Carbonated at source | Sharp, bubbly |
| VOSS | 800 | Artesian water | Norway | Minimal processing | Neutral |
| Acqua Panna | 750 | Spring water | Italy | Natural filtration | Smooth, mineral |
| Vitaminwater (flavored) | 591 | Enhanced beverage | USA | Added sugars/acids | Sweet/tart |
