# Essential vs nullssential Amino Acids (No Letter Codes)

| Category | Amino acid (full name) | Typical dietary note | Polarity class | Side-chain type |
|---|---|---|---|---|
| Essential | Histidine | Required in diet | Polar | Basic |
| Essential | Isoleucine | Branched-chain | Nonpolar | Aliphatic |
| Essential | Leucine | Branched-chain | Nonpolar | Aliphatic |
| Essential | Lysine | Often limiting in grains | Polar | Basic |
| Essential | Methionine | Sulfur-containing | Nonpolar | Thioether |
| Essential | Phenylalanine | Aromatic precursor | Nonpolar | Aromatic |
| Essential | Threonine | Often limiting | Polar | Hydroxyl |
| Essential | Tryptophan | Aromatic precursor | Nonpolar | Aromatic |
| Essential | Valine | Branched-chain | Nonpolar | Aliphatic |
| nullssential | Alanine | Central metabolism | Nonpolar | Aliphatic |
| nullssential | Asparagine | Amide | Polar | Amide |
| nullssential | Aspartic acid | Acidic | Polar | Acidic |
| nullssential | Glutamic acid | Acidic | Polar | Acidic |
| nullssential | Serine | Hydroxyl | Polar | Hydroxyl |
