# French 5 th Republic
> Prime Ministers of the 5 th Republic

| Name | Term start | Term end | Political Party |
| --- | --- | --- | --- |
| Michel Debré | 8 January 1959 | 14 April 1962 | UNR |
| Georges Pompidou | 14 April 1962 | 10 July 1968 | UNR |
| Maurice Couve de Murville | 10 July 1968 | 20 June 1969 | UDR |
| Jacques Chaban-Delmas | 20 June 1969 | 6 July 1972 | UDR |
| Pierre Messmer | 6 July 1972 | 27 May 1974 | UDR |
| Jacques Chirac (1st time) | 27 May 1974 | 26 August 1976 | UDR |
| Raymond Barre | 26 August 1976 | 21 May 1981 | UDF |
| Pierre Mauroy | 21 May 1981 | 17 July 1984 | Socialist |
| Laurent Fabius | 17 July 1984 | 20 March 1986 | Socialist |
| Jacques Chirac (2nd time) | 20 March 1986 | 10 May 1988 | RPR |
| Michel Rocard | 10 May 1988 | 15 May 1991 | Socialist |
| Édith Cresson | 15 May 1991 | 2 April 1992 | Socialist |
| Pierre Bérégovoy | 2 April 1992 | 29 March 1993 | Socialist |
| Édouard Balladur | 29 March 1993 | 18 May 1995 | RPR |
| Alain Juppé | 18 May 1995 | 3 June 1997 | RPR |
| Lionel Jospin | 3 June 1997 | 6 May 2002 | Socialist |
| Jean-Pierre Raffarin | 6 May 2002 | 31 May 2005 | UMP |
| Dominique de Villepin | 31 May 2005 | 17 May 2007 | UMP |
| François Fillon | 17 May 2007 | 15 May 2012 | UMP |
| Jean-Marc Ayrault | 15 May 2012 | 31 March 2014 | Socialist |
| Manuel Valls | 31 March 2014 | (incumbent) | Socialist |
