# Most Fuel-Efficient Non-Hybrid Gasoline Cars (Overall MPG Ranking)

| Rank | Make & Model | Vehicle class | Combined MPG (overall) | Notes |
| --- | --- | --- | --- | --- |
| 1 | Mitsubishi Mirage | Subcompact | 39 | Gasoline (non-hybrid) |
| 2 | Nissan Versa | Subcompact | 35 | Gasoline (non-hybrid) |
| 3 | Kia Rio | Subcompact | 36 | Gasoline (non-hybrid) |
| 4 | Hyundai Elantra | Compact | 37 | Gasoline (non-hybrid) |
| 5 | Honda Civic Sedan | Compact | 36 | Gasoline (non-hybrid) |
| 6 | Toyota Corolla | Compact | 35 | Gasoline (non-hybrid) |
| 7 | Mazda3 | Compact | 33 | Gasoline (non-hybrid) |
| 8 | Volkswagen Jetta | Compact | 34 | Gasoline (non-hybrid) |
| 9 | Subaru Impreza | Compact | 32 | AWD gasoline |
| 10 | Nissan Sentra | Compact | 33 | Gasoline (non-hybrid) |
