# Early Frankish and Early French Monarchs (Selected Kings and Emperors)

| Dynasty/Realm | Ruler | Reign start | Reign end | Royal title(s) | Notes (leadership confirmation) |
| --- | --- | --- | --- | --- | --- |
| Merovingian (Kingdom of the Franks) | Clovis I | 481 | 511 | King of the Franks | Unifier of Frankish realms; foundational royal ruler in Gaul |
| Merovingian (Kingdom of the Franks) | Childebert I | 511 | 558 | King of Paris; King of the Franks (partition kingdom) | Recognized as a Frankish king in the post-Clovis division |
| Merovingian (Kingdom of the Franks) | Clothar I (Chlothar I) | 511 | 561 | King of the Franks | Eventually reunified much of the Frankish kingdom |
| Merovingian (Kingdom of the Franks) | Dagobert I | 629 | 639 | King of the Franks | Prominent early medieval Frankish monarch |
| Carolingian (Kingdom of the Franks) | Pepin the Short | 751 | 768 | King of the Franks | Carolingian takeover; royal status explicit |
| Carolingian (Frankish Empire) | Charlemagne | 768 | 814 | King of the Franks; Emperor of the Romans (from 800) | King-emperor; reign dates clarify royal office |
| Carolingian (Frankish Empire) | Louis the Pious | 814 | 840 | Emperor of the Romans; King of the Franks | Successor within imperial/Frankish monarchy |
| West Francia (early France) | Charles the Bald | 843 | 877 | King of West Francia; Emperor (from 875) | West Francia is the core of later France |
| West Francia (early France) | Odo | 888 | 898 | King of the Franks (West Francia) | Non-Carolingian king; clearly monarch rather than minister |
| West Francia (early France) | Charles the Simple | 898 | 922 | King of the Franks | West Frankish king; reign bounds provided |
