# Bottled Water Brand pH Roster (with pH Category Guide)

| Brand/Product | Measured pH | Category (Educational) | Note |
|---|---:|---|---|
| Fiji Natural Artesian Water | 7.2 | Neutral (≈7) | Example entry for comparison |
| Evian Spring Water | 7.0 | Neutral (≈7) | Bottled spring water |
| Essentia Ionized Alkaline Water | 9.0 | Alkaline (>7) | Enhanced with electrolytes |
| Smartwater (Vapor Distilled) | 6.9 | Slightly Acidic (<7) | Added minerals |
| Perrier Sparkling Mineral Water | 5.5 | Acidic (<7) | Carbonation lowers pH |
| Icelandic Glacial | 8.3 | Alkaline (>7) | Label often cites higher pH |
| Poland Spring | 6.3 | Slightly Acidic (<7) | Spring water |
| VOSS | 7.3 | Slightly Alkaline (>7) | Still water |
| S.Pellegrino | 5.3 | Acidic (<7) | Sparkling mineral water |
