# Global Most-Subscribed YouTube Channels (Owner & Network Focus, No Subscriber Totals)

| Rank | Channel | Owner / Parent Company | Primary Category | Country | Notes |
|---:|---|---|---|---|---|
| 1 | T-Series | Super Cassettes Industries Pvt. Ltd. | Music | India | Major music label channel |
| 2 | MrBeast | MrBeast LLC | Entertainment | United States | Philanthropy & challenges |
| 3 | Cocomelon - Nursery Rhymes | Moonbug Entertainment | Kids | United States | Preschool animation brand |
| 4 | SET India | Sony Pictures Networks India | Entertainment | India | TV clips & full episodes |
| 5 | Kids Diana Show | Kids Diana Show (Brand) | Kids | Ukraine/US | Family kids content |
| 6 | Like Nastya | Like Nastya (Brand) | Kids | Russia/US | Kids vlogs |
| 7 | WWE | TKO Group Holdings | Sports | United States | Wrestling highlights |
| 8 | Zee Music Company | Zee Entertainment Enterprises | Music | India | Music label catalog |
| 9 | 5-Minute Crafts | TheSoul Publishing | How-to | Cyprus | DIY compilation channel |
| 10 | HYBE LABELS | HYBE Corporation | Music | South Korea | Label hub for artists |
