# Companion Planting Guide  Pest Repellent Plants and Recommended Spacing

| Plant | Pests Deterred | Suggested Spacing (in) | Sun | Notes |
| --- | --- | --- | --- | --- |
| Basil | Mosquitoes, houseflies | 10-12 | Full sun | Also improves tomato flavor |
| Lavender | Moths, fleas | 18-24 | Full sun | Drought tolerant once established |
| Rosemary | Cabbage moth, bean beetles | 18-24 | Full sun | Woody perennial in warm climates |
| Marigold (Tagetes) | Aphids, whiteflies, nematodes | 8-12 | Full sun | Common border plant |
| Mint | Ants, mosquitoes | 12-18 | Part sun | Can become invasive; container recommended |
| Chives | Aphids, carrot fly | 6-8 | Full/part sun | Edible leaves and flowers |
| Nasturtium | Aphids, squash bugs | 10-12 | Full/part sun | Often used as a trap crop |
| Garlic | Spider mites, Japanese beetles | 6 | Full sun | Strong odor when crushed |
| Sage | Carrot fly, cabbage moth | 18 | Full sun | Prefers well-drained soil |
