# New Hampshire Democratic Primary 2016 — Polling Snapshots and Trendline (Not Results)

| Field date | Pollster | Sample | Sanders | Clinton | Undecided | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Jan 10, 2016 | WMUR/UNH | RV | 54% | 38% | 8% | Late-campaign snapshot |
| Jan 5, 2016 | CNN/WMUR | RV | 51% | 40% | 9% | Likely voters screen |
| Dec 20, 2015 | PPP | RV | 49% | 41% | 10% | Includes leaners |
| Dec 5, 2015 | YouGov | RV | 46% | 42% | 12% | Online panel |
| Nov 15, 2015 | CBS/NYT | RV | 45% | 44% | 11% | Within margin |
| Oct 25, 2015 | Quinnipiac | RV | 44% | 45% | 11% | Tight race |
| Sep 30, 2015 | Suffolk | RV | 41% | 47% | 12% | Earlier period |
| Aug 20, 2015 | NBC/Marist | RV | 38% | 50% | 12% | Pre-debate |
| Jul 10, 2015 | WMUR/UNH | RV | 36% | 52% | 12% | Early baseline |
