# General Xbox 360 Game List (System Link Column Present, But Not System Link–Only)

| Title | Year | Category | System Link (LAN) | Total players | Per console | Other Xbox topic included |
|---|---:|---|---:|---:|---:|---|
| Borderlands: The Pre-Sequel! | 2014 | Shooter/RPG | Yes | 4 | 2 | Included because co-op |
| Call of Duty 3 | 2006 | Shooter | Yes | 24 | 4 | Included for multiplayer |
| Every Party | 2005 | Party | No | 4 | 1 | General platform list |
| Batman: Arkham Origins | 2013 | Action | No | 1 | 1 | DC Comics games list crossover |
| Assassin's Creed II | 2009 | Action | No | 1 | 1 | Backward compatibility mention |
| Banjo-Kazooie | 1998 | Platformer | No | 1 | 1 | Back-compat catalog entry |
| Halo 3 | 2007 | Shooter | Yes | 16 | 1 | General Xbox 360 list |
| Forza Motorsport 2 | 2007 | Racing | Yes | 8 | 1 | General Xbox 360 list |
| Gears of War | 2006 | Shooter | Yes | 8 | 1 | General Xbox 360 list |
| The Elder Scrolls IV: Oblivion | 2006 | RPG | No | 1 | 1 | General Xbox 360 list |
| Wii Play | 2006 | Party | No | 2 | 1 | Non-Xbox platform mixed in |
