# Largest Employers in Jefferson County, Colorado — Headcount Ranges (Not Exact Employee Numbers)

| Rank | Employer | Sector | Employee Range |
|---:|---|---|---|
| 1 | Jefferson County School District | Education | 5,000–9,999 |
| 2 | St. Anthony Hospital | Healthcare | 1,000–4,999 |
| 3 | Lockheed Martin (Local) | Aerospace & Defense | 1,000–4,999 |
| 4 | CoorsTek | Manufacturing | 500–999 |
| 5 | City of Lakewood | Government | 500–999 |
| 6 | Terumo BCT (Local) | Medical Devices | 500–999 |
| 7 | Denver Federal Center (Agencies) | Government | 1,000–4,999 |
| 8 | King Soopers (Regional) | Retail | 1,000–4,999 |
| 9 | Ball Aerospace (Local) | Aerospace | 500–999 |
| 10 | Red Rocks Community College | Education | 250–499 |
