# Weekly Bunker Fuel Price Index and Spread vs MGO (IFO 380   VLSFO   MGO) - Singapore Market

| Week (ending) | Market context | IFO 380 (USD/mt) | VLSFO 0.5% (USD/mt) | MGO 0.1% (USD/mt) | Bunker Price Index (100=2023 avg) | MGO-VLSFO spread (USD/mt) |
| --- | --- | ---: | ---: | ---: | ---: | ---: |
| 2024-08-02 | Ex-wharf delivered | 465 | 585 | 812 | 118.4 | 227 |
| 2024-08-09 | Ex-wharf delivered | 472 | 592 | 806 | 119.1 | 214 |
| 2024-08-16 | Ex-wharf delivered | 458 | 579 | 798 | 117.6 | 219 |
| 2024-08-23 | Ex-wharf delivered | 463 | 587 | 803 | 118.7 | 216 |
| 2024-08-30 | Ex-wharf delivered | 476 | 601 | 817 | 120.5 | 216 |
| 2024-09-06 | Ex-wharf delivered | 489 | 614 | 829 | 122.1 | 215 |
| 2024-09-13 | Ex-wharf delivered | 481 | 607 | 821 | 121.3 | 214 |
| 2024-09-20 | Ex-wharf delivered | 495 | 620 | 836 | 123.0 | 216 |
| 2024-09-27 | Ex-wharf delivered | 488 | 612 | 830 | 122.0 | 218 |
