# Median LSAT (50th Percentile) Comparison Across Law Schools — Regional Snapshot

| Region | Law School | Median LSAT (50th) |
|---|---|---:|
| Northeast | Cornell Law School | 167 |
| Northeast | Georgetown University Law Center | 167 |
| Northeast | Boston University School of Law | 166 |
| South | University of Texas School of Law | 167 |
| South | Vanderbilt Law School | 167 |
| South | Emory University School of Law | 166 |
| West | University of California, Berkeley School of Law | 168 |
| West | University of California, Los Angeles School of Law | 168 |
| Midwest | Washington University in St. Louis School of Law | 166 |
| Midwest | University of Minnesota Law School | 165 |
