# Estimated Annual Cost of Attendance by Residency and Housing Status (Undergraduate, 2025–2026)

| Cost Item (Annual) | In-State (On-Campus) | In-State (Off-Campus) | Out-of-State (On-Campus) | Out-of-State (Off-Campus) |
| --- | ---: | ---: | ---: | ---: |
| Tuition | $10,800 | $10,800 | $28,400 | $28,400 |
| Mandatory University Fees | $1,250 | $1,250 | $1,250 | $1,250 |
| Housing | $7,900 | $9,600 | $7,900 | $9,600 |
| Meal Plan / Food | $5,200 | $4,300 | $5,200 | $4,300 |
| Books & Course Materials | $1,100 | $1,100 | $1,100 | $1,100 |
| Transportation | $900 | $1,400 | $1,200 | $1,600 |
| Personal / Miscellaneous | $1,800 | $2,000 | $1,800 | $2,000 |
| Health Insurance (if not waived) | $2,450 | $2,450 | $2,450 | $2,450 |
| Loan Fees (estimated) | $80 | $80 | $80 | $80 |
| **Estimated Total** | **$31,480** | **$32,980** | **$49,380** | **$50,780** |
