# Global Wings — Fleet by Aircraft Family (Not Model-level)

| Aircraft family | Subtype examples | In service | Orders | Introduced (airline) | Typical mission |
| --- | --- | ---: | ---: | --- | --- |
| Airbus A320 family | A319/A320/A321 (mixed) | 58 | 12 | 2007 | Short-haul |
| Boeing 737 Next Gen | 737-700/800/900ER (mixed) | 34 | 0 | 2004 | Short-haul |
| Boeing 787 Dreamliner | 787-8/9 (mixed) | 11 | 6 | 2016 | Long-haul |
| Airbus A330 family | A330-200/300 (mixed) | 9 | 0 | 2010 | Long-haul |
| Embraer E-Jets | E170/E175/E190 (mixed) | 22 | 0 | 2009 | Regional |
| ATR 72 | -500/-600 (mixed) | 7 | 4 | 2014 | Regional |
| Cargo freighters (mixed) | 767F/777F (pooled) | 5 | 2 | 2018 | Cargo |
| Business jets | G550/Global 6000 (mixed) | 3 | 0 | 2012 | Corporate |
| Helicopters | S-76/H145 (mixed) | 2 | 0 | 2019 | Utility |
