# List of bishops in the Church of England
> Diocesan bishops

| # | Bishop | Person | Date of birth & age | Election confirmed [a] | Consecrated [b] | Introduced [c] |
| --- | --- | --- | --- | --- | --- | --- |
| 6 | Chester, Bishop of ! The Bishop of Chester | Forster, Peter Peter Forster | ( 1950-03-16 ) 16 March 1950 (age 66) | 000000001996-01-01-0000 1996 | 000000001996-11-13-0000 13 November 1996 | 000000002001-11-14-0000 14 November 2001 [22] |
| 7 | Norwich, Bishop of ! The Bishop of Norwich | James, Graham Graham James | ( 1951-01-19 ) 19 January 1951 (age 65) | 000000001999-01-01-0000 1999 | 000000001993-02-23-0000 23 February 1993 [v] | 000000002004-03-17-0000 17 March 2004 [23] |
| 8 | Bristol, Bishop of ! The Bishop of Bristol | Hill, Mike Mike Hill | ( 1949-04-17 ) 17 April 1949 (age 67) | 000000002003-01-01-0000 2003 | 000000001998-03-19-0000 19 March 1998 [vi] | 000000002009-07-16-0000 16 July 2009 [24] |
| 9 | Derby, Bishop of ! The Bishop of Derby | Redfern, Alastair Alastair Redfern | ( 1948-09-01 ) 1 September 1948 (age 68) | 000000002005-01-01-0000 2005 | 000000001997-12-02-0000 2 December 1997 [vii] | 000000002010-06-15-0000 15 June 2010 [25] |
| 10 | Birmingham, Bishop of ! The Bishop of Birmingham ( Convenor of the Lords Spiritual ) [26] | Urquhart, David David Urquhart | ( 1952-04-14 ) 14 April 1952 (age 64) | 000000002006-01-01-0000 2006 | 000000002000-01-01-0000 2000 [viii] | 000000002010-10-26-0000 26 October 2010 [27] |
| 11 | Worcester, Bishop of ! The Bishop of Worcester | Inge, John John Inge | ( 1955-02-26 ) 26 February 1955 (age 61) | 000000002008-01-01-0000 2008 | 000000002003-10-09-0000 9 October 2003 [ix] | 000000002012-06-25-0000 25 June 2012 [28] |
| 12 | Coventry, Bishop of ! The Bishop of Coventry | Cocksworth, Christopher Christopher Cocksworth | ( 1959-01-12 ) 12 January 1959 (age 57) | 000000002008-01-01-0000 2008 | 000000002008-07-03-0000 3 July 2008 | 000000002013-01-15-0000 15 January 2013 [29] |
| 13 | Truro, Bishop of ! The Bishop of Truro | Thornton, Tim Tim Thornton | ( 1957-04-14 ) 14 April 1957 (age 59) | 000000002009-01-01-0000 2009 | 000000002001-10-21-0000 21 October 2001 [x] | 000000002013-04-22-0000 22 April 2013 [30] |
| 14 | Oxford, Bishop of ! The Bishop of Oxford | Croft, Steven Steven Croft | ( 1957-05-29 ) 29 May 1957 (age 59) | 000000002016-07-06-0000 6 July 2016 [31] | 000000002009-01-25-0000 25 January 2009 [xi] | 000000002013-10-14-0000 14 October 2013 (Sheffield) [32] 19 July 2016 (Oxford) [33] |
| 15 | Saint Albans, Bishop of ! The Bishop of St Albans | Smith, Alan Alan Smith | ( 1957-02-14 ) 14 February 1957 (age 59) | 000000002009-03-31-0000 31 March 2009 [34] | 000000002001-01-01-0000 2001 [xii] | 000000002013-11-04-0000 4 November 2013 [35] |
| 16 | Carlisle, Bishop of ! The Bishop of Carlisle ( lead bishop on healthcare issues ) [36] | Newcome, James James Newcome | ( 1953-07-24 ) 24 July 1953 (age 63) | 000000002009-01-01-0000 2009 | 000000002002-01-01-0000 2002 [xiii] | 000000002013-10-23-0000 23 October 2013 [37] |
