# Irish Baby Names (English → Irish) with Pronunciation Guide

| English Given Name | Irish Form | Gender | Meaning | Approx. Pronunciation |
|---|---|---|---|---|
| John | Seán | M | God is gracious | shawn |
| Mary | Máire | F | bitter / beloved | maw-ra |
| William | Liam | M | resolute protection | lee-um |
| Catherine | Caitríona | F | pure | ka-TREE-na |
| Patrick | Pádraig | M | noble | paw-drig |
| Bridget | Bríd | F | exalted one | breed |
| Michael | Mícheál | M | who is like God? | mee-hawl |
| Anne | Áine | F | radiance | awn-ya |
| Edward | Éamonn | M | wealthy protector | ay-mun |
| Stephen | Stiofán | M | crown | shtuh-fawn |
| Elizabeth | Eilís | F | pledged to God | eh-leesh |
