# Canon EOS APS-C DSLR body weight comparison (selected Rebel xx0D and enthusiast models)

| EOS model (DSLR body) | Series / tier | Stated body weight (g) | Stated body weight (oz) | Weight note |
|---|---|---:|---:|---|
| Canon EOS 1000D (Rebel XS) | Entry-level | 450 | 15.9 | CIPA body-only weight |
| Canon EOS 1100D (Rebel T3) | Entry-level | 495 | 17.5 | CIPA body-only weight |
| Canon EOS 1200D (Rebel T5) | Entry-level | 480 | 16.9 | CIPA body-only weight |
| Canon EOS 1300D (Rebel T6) | Entry-level | 485 | 17.1 | CIPA body-only weight |
| Canon EOS 600D (Rebel T3i) | Entry-level | 570 | 20.1 | CIPA body-only weight |
| Canon EOS 700D (Rebel T5i) | Entry-level | 580 | 20.5 | CIPA body-only weight |
| Canon EOS 60D | Midrange (xxD) | 755 | 26.6 | CIPA body-only weight |
| Canon EOS 70D | Midrange (xxD) | 755 | 26.6 | CIPA body-only weight |
| Canon EOS 7D Mark II | Prosumer | 910 | 32.1 | CIPA body-only weight |
