# List of The Many Loves of Dobie Gillis episodes
> Series overview

| No. in series | No. in season | Title | Directed by | Written by | Original airdate | Production number |
| --- | --- | --- | --- | --- | --- | --- |
| 40 | 1 | "Who Needs Elvis?" | Rod Amateau | Max Shulman | September 27, 1960 ( 1960-09-27 ) | 4401 |
| 41 | 2 | "You Ain't Nothin' But a Houn' Dog" | Rod Amateau | Lawrence Williams & Maggie Williams | October 4, 1960 ( 1960-10-04 ) | 4402 |
| 42 | 3 | "Baby Talk" | Rod Amateau | Joel Kane | October 18, 1960 ( 1960-10-18 ) | 4405 |
| 43 | 4 | "Dobie Goes Beatnik" | Guy Scarpitta | Joel Kane | October 25, 1960 ( 1960-10-25 ) | 4404 |
| 44 | 5 | "The Mystic Powers of Maynard G. Krebs" | Rod Amateau | Max Shulman | November 1, 1960 ( 1960-11-01 ) | 4406 |
| 45 | 6 | "The Face That Stopped the Clock" | Rod Amateau | Teleplay: Fred S. Fox & Iz Elinson Story: Max Shulman | November 15, 1960 ( 1960-11-15 ) | 4412 |
| 46 | 7 | "Maynard G. Krebs - Boy Millionaire" | Rod Amateau | Joel Kane | November 22, 1960 ( 1960-11-22 ) | 4408 |
| 47 | 8 | "Around My Room in 80 Days" | Rod Amateau | Lawrence Williams, Maggie Williams & Max Shulman | November 29, 1960 ( 1960-11-29 ) | 4407 |
| 48 | 9 | "Drag Strip Dobie" | Rod Amateau | Bud Nye & Joel Kane | December 6, 1960 ( 1960-12-06 ) | 4409 |
| 49 | 10 | "Jangle Bells" | Rod Amateau | Lawrence Williams, Maggie Williams & Joel Kane | December 20, 1960 ( 1960-12-20 ) | 4413 |
| 50 | 11 | "Parlez-Vous English?" | Guy Scarpitta | Max Shulman | December 27, 1960 ( 1960-12-27 ) | 4414 |
| 51 | 12 | "The Day the Teachers Disappeared" | Rod Amateau | Teleplay: Dean Riesner Story: Rod Amateau | January 3, 1961 ( 1961-01-03 ) | 4411 |
| 52 | 13 | "What's My Lion?" | Robert Gordon | Teleplay: Dean Riesner Story: Rod Amateau | January 10, 1961 ( 1961-01-10 ) | 4410 |
| 53 | 14 | "The Big Question" | Rod Amateau | Max Shulman & Joel Kane | January 24, 1961 ( 1961-01-24 ) | 4417 |
| 54 | 15 | "Have You Stopped Beating Your Wife?" | Robert Gordon | Teleplay: Ray Allen Story: Rod Amateau | January 31, 1961 ( 1961-01-31 ) | 4415 |
| 55 | 16 | "The Bitter Feud of Dobie and Maynard" | Rod Amateau | Teleplay: Joel Kane Story: Rod Amateau | February 7, 1961 ( 1961-02-07 ) | 4418 |
| 56 | 17 | "Zelda, Get Off My Back" | Rod Amateau | Teleplay: Lawrence & Maggie Williams Story: Max Shulman | February 14, 1961 ( 1961-02-14 ) | 4416 |
| 57 | 18 | "I Was a High School Scrooge" | Rod Amateau | Max Shulman | February 20, 1961 ( 1961-02-20 ) | 4420 |
| 58 | 19 | "Will Success Spoil Dobie's Mother?" | Rod Amateau | Teleplay: Ray Allen Story: Max Shulman | February 28, 1961 ( 1961-02-28 ) | 4419 |
| 59 | 20 | "The Second Childhood of Herbert T. Gillis" | Robert Gordon | Joel Kane | March 7, 1961 ( 1961-03-07 ) | 4421 |
| 60 | 21 | "Dobie vs. the Machine" | Rod Amateau | Malvin Wald & Max Shulman | March 14, 1961 ( 1961-03-14 ) | 4423 |
| 61 | 22 | "Baby Shoes" | Robert Gordon | Lawrence Williams, Maggie Williams & Max Shulman | March 21, 1961 ( 1961-03-21 ) | 4422 |
| 62 | 23 | "I Didn't Raise My Boy to Be a Soldier, Sailor or Marine" | Rod Amateau | Joel Kane | March 28, 1961 ( 1961-03-28 ) | 4424 |
| 63 | 24 | "The Chicken Corporal" | Rod Amateau | Arnold Horwitt | April 4, 1961 ( 1961-04-04 ) | 4425 |
| 64 | 25 | "The Solid Gold Dog-Tag" | Guy Scarpitta | Dean Riesner | April 11, 1961 ( 1961-04-11 ) | 4427 |
| 65 | 26 | "The Battle of Maynard's Beard" | Rod Amateau | Dean Riesner | April 18, 1961 ( 1961-04-18 ) | 4429 |
| 66 | 27 | "Spaceville" | Rod Amateau | Arnold Horwitt | April 25, 1961 ( 1961-04-25 ) | 4428 |
| 67 | 28 | "Like Mother, Like Daughter, Like Wow" | Rod Amateau | Ray Allen | May 2, 1961 ( 1961-05-02 ) | 4430 |
| 68 | 29 | "Dobie Plays Cupid" | Rod Amateau | Joel Kane | May 9, 1961 ( 1961-05-09 ) | 4431 |
| 69 | 30 | "Like Father, Like Son, Like Trouble" | Stanley Z. Cherry | Bud Nye | May 16, 1961 ( 1961-05-16 ) | 4432 |
| 70 | 31 | "Be It Ever So Humble" | Rod Amateau | Arnold Horwitt | May 23, 1961 ( 1961-05-23 ) | 4433 |
| 71 | 32 | "Ah! Yer Fadder Wears Army Shoes" | Rod Amateau | Bill Gammie & Max Shulman | May 30, 1961 ( 1961-05-30 ) | 4435 |
| 72 | 33 | "Everything But the Truth" | Stanley Z. Cherry | Joel Kane | June 6, 1961 ( 1961-06-06 ) | 4434 |
| 73 | 34 | "Goodbye, Mr. Pomfritt - Hello, Mr. Chips" | Guy Scarpitta | Joel Kane | June 13, 1961 ( 1961-06-13 ) | 4436 |
| 74 | 35 | "Take Me to Your Leader" | Rod Amateau | Lawrence Williams, Maggie Williams & Max Shulman | June 20, 1961 ( 1961-06-20 ) | 4403 |
| 75 | 36 | "This Ain't the Way We Used to Do It" | Stanley Z. Cherry | Bud Nye | June 27, 1961 ( 1961-06-27 ) | 4426 |
