# Hanover County , Virginia
> Economy

| Employer | Sector | Number of Employees |
| --- | --- | --- |
| Hanover County | Government/Education | 1000+ |
| Bon Secours | Health Care | 1000+ |
| Kings Dominion | Amusement Park | 1000+ |
| Tyson Farms | Food Processing | 500-999 |
| SuperValu | Food Distributor | 500-999 |
| Randolph-Macon College | Private Education | 500-999 |
| Walmart | Retail | 250-499 |
| Owens & Minor | Corp HQ/Distribution | 250-499 |
| Bass Pro Shops | Retail | 250-499 |
| Media General | Newspaper Publishers | 250-499 |
| QubicaAMF | Corp HQ/Athletics Manufacturing | 250-499 |
| Kroger | Retail | 250-499 |
| Food Lion | Retail | 250-499 |
| Sheltering Arms | Rehabilitation Hospital | 250-499 |
| Martin’s Food Store | Retail | 250-499 |
