# Broadcast TV Channels — Bandwidth Allocation (Lower Upper Limits Per Channel)

| TV Channel | Lower Limit (MHz) | Upper Limit (MHz) | Bandwidth (MHz) | Region Note |
|---:|---:|---:|---:|---|
| 5 | 76.0 | 82.0 | 6.0 | Example allocation (system-dependent) |
| 6 | 82.0 | 88.0 | 6.0 | Example allocation (system-dependent) |
| 7 | 174.0 | 180.0 | 6.0 | VHF-Hi |
| 8 | 180.0 | 186.0 | 6.0 | VHF-Hi |
| 9 | 186.0 | 192.0 | 6.0 | VHF-Hi |
| 10 | 192.0 | 198.0 | 6.0 | VHF-Hi |
| 11 | 198.0 | 204.0 | 6.0 | VHF-Hi |
| 12 | 204.0 | 210.0 | 6.0 | VHF-Hi |
| 21 | 512.0 | 518.0 | 6.0 | UHF example |
| 22 | 518.0 | 524.0 | 6.0 | UHF example |
