# High-Heat Cooking Oil Comparison (Smoke Point and Broad Fat Breakdown)

| Oil (common retail type) | Smoke point (°F) | Saturated (%) | Monounsaturated (%) | Polyunsaturated (%) | Notes for high-heat cooking |
| --- | ---: | ---: | ---: | ---: | --- |
| Grapeseed oil (refined) | 420 | 10 | 16 | 70 | Neutral flavor; very high PUFA |
| Safflower oil (high-oleic, refined) | 450 | 7 | 75 | 13 | Often marketed for frying |
| Corn oil (refined) | 450 | 13 | 28 | 54 | Common for deep-frying |
| Sesame oil (refined) | 410 | 14 | 41 | 41 | Refined version tolerates heat better |
| Palm oil (refined) | 450 | 49 | 38 | 10 | Semi-solid; stable for frying |
| Lard | 370 | 39 | 45 | 11 | Animal fat; moderate smoke point |
| Beef tallow | 400 | 50 | 42 | 4 | Very stable; traditional frying fat |
| Walnut oil (refined) | 400 | 9 | 23 | 63 | Nutty; high PUFA |
| Flaxseed oil (unrefined) | 225 | 9 | 18 | 73 | Not suitable for high heat |
| Macadamia oil (refined) | 410 | 12 | 78 | 3 | High MUFA; mild flavor |
