# Uttar Pradesh State Highways (UP SH) — identifier, OSM reference, and in-state route corridor

| State Highway (UP SH) | OSM relation (ref) | In-state route / corridor (key towns connected) | Region of UP | Alternate / commonly used road name |
| --- | --- | --- | --- | --- |
| UP SH 12 | 2101120 | Meerut → Baghpat → (toward Delhi border) | West UP | Meerut–Baghpat Road |
| UP SH 25 | 2101255 | Jhansi → Lalitpur → MP border | Bundelkhand | Jhansi–Lalitpur Marg |
| UP SH 33 | 2101333 | Bahraich → Shravasti → Balrampur | Terai / North | Terai Link Road |
| UP SH 34 | 1423713 | Lucknow → Azamgarh → Ballia | Central to East | Lucknow–Ballia Marg |
| UP SH 36 | 1423715 | Lucknow → Rae Bareli → Jaunpur → (toward Varanasi) | Central/East | Lucknow–Varanasi Corridor (via Jaunpur) |
| UP SH 37 | 1474056 | Bareilly → (toward Uttarakhand hills via Nainital Road) | Rohilkhand | Nainital Road (UP segment) |
| UP SH 38 | 1426849 | Bilgram → Unnao → Prayagraj | Central | Bilgram–Prayagraj Marg |
| UP SH 51 | 2101510 | Kanpur → Unnao → Lucknow (connector) | Central | Kanpur–Lucknow Link |
| UP SH 57 | 2101577 | Gorakhpur → Deoria → Ballia | East UP | Gorakhpur–Ballia Road |
| UP SH 73 | 2101730 | Mathura → Vrindavan → Govardhan | Braj region | Braj Circuit Road |
| UP SH 95 | 2101950 | Varanasi → Ghazipur → Bihar border | East UP | Varanasi–Ghazipur Road |
