# National Football League Most Valuable Player Award
> Sporting News NFL Player of the Year Award

| Season | Player | Team | Position |
| --- | --- | --- | --- |
| 1954 | Lou Groza | Cleveland Browns | Tackle-K |
| 1955 | Otto Graham | Cleveland Browns | Quarterback |
| 1956 | Frank Gifford | New York Giants | Running back |
| 1957 | Jim Brown | Cleveland Browns | Fullback |
| 1958 | Jim Brown (2) | Cleveland Browns | Fullback |
| 1959 | Johnny Unitas | Baltimore Colts | Quarterback |
| 1960 | Norm Van Brocklin | Philadelphia Eagles | Quarterback |
| 1961 | Paul Hornung | Green Bay Packers | Running back |
| 1962 | Y. A. Tittle | New York Giants | Quarterback |
| 1963 | Y. A. Tittle (2) | New York Giants | Quarterback |
| 1964 | Johnny Unitas (2) | Baltimore Colts | Quarterback |
| 1965 | Jim Brown (3) | Cleveland Browns | Running back |
| 1966 | Bart Starr | Green Bay Packers | Quarterback |
| 1967 | Johnny Unitas (3) | Baltimore Colts | Quarterback |
| 1968 | Earl Morrall | Baltimore Colts | Quarterback |
| 1969 | Roman Gabriel | Los Angeles Rams | Quarterback |
| 1970 | NFC- John Brodie AFC- George Blanda | San Francisco 49ers Oakland Raiders | Quarterback QB-K |
| 1971 | NFC- Roger Staubach AFC- Bob Griese | Dallas Cowboys Miami Dolphins | Quarterback Quarterback |
| 1972 | NFC- Larry Brown AFC- Earl Morrall (2) | Washington Redskins Miami Dolphins | Running back Quarterback |
| 1973 | NFC- John Hadl AFC- O.J. Simpson | Los Angeles Rams Buffalo Bills | Quarterback Running back |
| 1974 | NFC- Chuck Foreman AFC- Ken Stabler | Minnesota Vikings Oakland Raiders | Running back Quarterback |
| 1975 | NFC- Fran Tarkenton AFC- O. J. Simpson (2) | Minnesota Vikings Buffalo Bills | Quarterback Running back |
| 1976 | NFC- Walter Payton AFC- Ken Stabler (2) | Chicago Bears Oakland Raiders | Running back Quarterback |
| 1977 | NFC- Walter Payton (2) AFC- Craig Morton | Chicago Bears Denver Broncos | Running back Quarterback |
| 1978 | NFC- Archie Manning AFC- Earl Campbell | New Orleans Saints Houston Oilers | Quarterback Running back |
| 1979 | NFC- Ottis Anderson AFC- Dan Fouts | St. Louis Cardinals San Diego Chargers | Running back Quarterback |
| 1980 | Brian Sipe | Cleveland Browns | Quarterback |
| 1981 | Ken Anderson | Cincinnati Bengals | Quarterback |
| 1982 | Mark Moseley | Washington Redskins | Kicker |
| 1983 | Eric Dickerson | Los Angeles Rams | Running back |
| 1984 | Dan Marino | Miami Dolphins | Quarterback |
| 1985 | Marcus Allen | Los Angeles Raiders | Running back |
| 1986 | Lawrence Taylor | New York Giants | Linebacker |
| 1987 | Jerry Rice | San Francisco 49ers | Wide receiver |
| 1988 | Boomer Esiason | Cincinnati Bengals | Quarterback |
| 1989 | Joe Montana | San Francisco 49ers | Quarterback |
| 1990 | Jerry Rice (2) | San Francisco 49ers | Wide receiver |
| 1991 | Thurman Thomas | Buffalo Bills | Running back |
| 1992 | Steve Young | San Francisco 49ers | Quarterback |
| 1993 | Emmitt Smith | Dallas Cowboys | Running back |
| 1994 | Steve Young (2) | San Francisco 49ers | Quarterback |
| 1995 | Brett Favre | Green Bay Packers | Quarterback |
| 1996 | Brett Favre (2) | Green Bay Packers | Quarterback |
| 1997 | Barry Sanders | Detroit Lions | Running back |
| 1998 | Terrell Davis | Denver Broncos | Running back |
| 1999 | Kurt Warner | St. Louis Rams | Quarterback |
| 2000 | Marshall Faulk | St. Louis Rams | Running back |
| 2001 | Marshall Faulk (2) | St. Louis Rams | Running back |
| 2002 | Rich Gannon | Oakland Raiders | Quarterback |
| 2003 | Peyton Manning | Indianapolis Colts | Quarterback |
| 2004 | Peyton Manning (2) | Indianapolis Colts | Quarterback |
| 2005 | Shaun Alexander | Seattle Seahawks | Running back |
| 2006 | LaDainian Tomlinson | San Diego Chargers | Running back |
| 2007 | Tom Brady | New England Patriots | Quarterback |
| 2008 | Peyton Manning (3) | Indianapolis Colts | Quarterback |
| 2009 | Peyton Manning (4) | Indianapolis Colts | Quarterback |
| 2010 | Tom Brady (2) | New England Patriots | Quarterback |
| 2011 | Aaron Rodgers | Green Bay Packers | Quarterback |
| 2012 | Adrian Peterson* | Minnesota Vikings | Running back |
| 2013 | Peyton Manning* (5) | Denver Broncos | Quarterback |
| 2014 | Aaron Rodgers* (2) | Green Bay Packers | Quarterback |
| 2015 | Cam Newton* | Carolina Panthers | Quarterback |
