# 1974 in film
> Highest - grossing films ( U.S. )

| Rank | Title | Studio | Domestic gross |
| --- | --- | --- | --- |
| 1. | Blazing Saddles | Warner Bros. | $119,500,000 [1] |
| 2. | The Towering Inferno | 20th Century Fox / Warner Bros. | $116,000,000 [2] |
| 3. | The Trial of Billy Jack | Warner Bros. | $89,000,000 [3] |
| 4. | Young Frankenstein | 20th Century Fox | $86,273,333 [4] |
| 5. | Earthquake | Universal Pictures | $79,666,653 [5] |
| 6. | The Godfather Part II | Paramount Pictures | $47,542,841 [6] |
| 7. | Airport 1975 | Universal Pictures | $47,285,152 [7] |
| 8. | The Life and Times of Grizzly Adams | Sunn Classic Pictures | $45,411,063 [8] |
| 9. | The Longest Yard | Paramount Pictures | $43,008,075 [9] |
| 10. | Benji | Mulberry Square Releasing | $39,552,000 [10] |
