# State Government Debt Totals by State (Selected States, FY2022)

| Region | State | Total state debt (USD) | Debt rank (total) | Notes |
|---|---|---:|---:|---|
| West | California | 780,120,000,000 | 1 | Includes GO + revenue bonds |
| South | Texas | 310,450,000,000 | 2 | Large highway authority issuance |
| Northeast | New York | 290,800,000,000 | 3 | Includes public authority debt |
| Midwest | Illinois | 321,900,000,000 | 4 | Pension-related borrowing included |
| South | Florida | 180,600,000,000 | 5 | Mix of state & authority debt |
| West | Washington | 120,300,000,000 | 6 | Transportation packages |
| Northeast | Massachusetts | 105,750,000,000 | 7 | Includes MBTA-related obligations |
| Midwest | Ohio | 320,900,000,000 | 8 | Higher due to authority debt |
| West | Utah | 36,100,000,000 | 9 | Lower total issuance |
| West | Idaho | 15,300,000,000 | 10 | Smaller capital program |
