# Western Zodiac Sign Date Ranges and Key Traits (General Reference)

| Zodiac Sign | Date Range | Element | Modality | Symbol | Keyword |
|---|---|---|---|---|---|
| Aries | Mar 21 – Apr 19 | Fire | Cardinal | Ram | Initiative |
| Taurus | Apr 20 – May 20 | Earth | Fixed | Bull | Stability |
| Gemini | May 21 – Jun 20 | Air | Mutable | Twins | Curiosity |
| Cancer | Jun 21 – Jul 22 | Water | Cardinal | Crab | Nurture |
| Leo | Jul 23 – Aug 22 | Fire | Fixed | Lion | Expression |
| Virgo | Aug 23 – Sep 22 | Earth | Mutable | Maiden | Analysis |
| Libra | Sep 23 – Oct 22 | Air | Cardinal | Scales | Balance |
| Scorpio | Oct 23 – Nov 21 | Water | Fixed | Scorpion | Intensity |
| Sagittarius | Nov 22 – Dec 21 | Fire | Mutable | Archer | Exploration |
| Capricorn | Dec 22 – Jan 19 | Earth | Cardinal | Goat | Discipline |
| Aquarius | Jan 20 – Feb 18 | Air | Fixed | Water Bearer | Innovation |
| Pisces | Feb 19 – Mar 20 | Water | Mutable | Fish | Compassion |
