# Xbox 360 Local Multiplayer Shortlist (System Link + Split-Screen + Online)

| Title | System Link (LAN) | Split-screen | Online Multiplayer | Total players (max) | Per console | Remarks |
|---|---:|---:|---:|---:|---:|---|
| Halo 3 | Yes | Yes | Yes | 16 | 1 | LAN parties staple |
| Gears of War 2 | Yes | Yes | Yes | 10 | 1 | Horde mode noted |
| Call of Duty: World at War | Yes | Yes | Yes | 18 | 1 | Co-op campaign |
| Forza Motorsport 3 | Yes | No | Yes | 8 | 1 | Racing LAN |
| Left 4 Dead 2 | Yes | Yes | Yes | 8 | 1 | Versus supported |
| Minecraft: Xbox 360 Edition | No | Yes | Yes | 8 | 1 | Local only, no LAN |
| FIFA 08 | No | Yes | Yes | 22 | 1 | Local/online, no LAN |
| Batman: Arkham City | No | No | No | 1 | 1 | Single-player |
| The Elder Scrolls IV: Oblivion | No | No | No | 1 | 1 | Single-player |
| Red Dead Redemption | No | No | Yes | 16 | 1 | Online only |
| Shadow Hunters | No | N/A | N/A | N/A | N/A | Board game reference |
