# AeroNexus destinations by base (route-list style with mixed status legend)

| Base | Destination | Type |
| --- | --- | --- |
| Berlin (BER) | Palma de Mallorca (PMI) | Seasonal |
| Berlin (BER) | Tel Aviv (TLV) | Future |
| Berlin (BER) | Zurich (ZRH) | Current |
| Paris (CDG) | Algiers (ALG) | Current |
| Paris (CDG) | Tunis (TUN) | Terminated |
| Madrid (MAD) | Marrakech (RAK) | Seasonal |
| Madrid (MAD) | Dakar (DSS) | Current |
| Rome (FCO) | Beirut (BEY) | Current |
| Rome (FCO) | Amman (AMM) | Future |
