# Essential vs nullssential Amino Acids (with 3-letter and 1-letter codes)

| Amino acid | Classification | 3-letter code | 1-letter code |
| --- | --- | --- | --- |
| Leucine | Essential | Leu | L |
| Lysine | Essential | Lys | K |
| Methionine | Essential | Met | M |
| Phenylalanine | Essential | Phe | F |
| Threonine | Essential | Thr | T |
| Tryptophan | Essential | Trp | W |
| Valine | Essential | Val | V |
| Histidine | Essential | His | H |
| Isoleucine | Essential | Ile | I |
| Aspartic acid | nullssential | Asp | D |
| Glutamic acid | nullssential | Glu | E |
| Asparagine | nullssential | Asn | N |
| Serine | nullssential | Ser | S |
| Arginine | nullssential | Arg | R |
