# Quick Reference  Specific Gravity (SG) of Common Liquids vs Water (Unitless)

| Category | Liquid | Temperature (°C) | Specific Gravity (SG) |
|---|---|---:|---:|
| Water baseline | Water (reference) | 20 | 1.000 |
| Water baseline | Seawater (typical) | 20 | 1.025 |
| Fuels & hydrocarbons | Gasoline (typical) | 15 | 0.74 |
| Fuels & hydrocarbons | Diesel fuel (typical) | 15 | 0.84 |
| Fuels & hydrocarbons | Kerosene | 15 | 0.81 |
| Fuels & hydrocarbons | Mineral oil (light) | 20 | 0.87 |
| Alcohols | Methanol | 20 | 0.792 |
| Alcohols | Ethanol | 20 | 0.789 |
| Alcohols | Isopropyl alcohol (IPA) | 20 | 0.786 |
| Halogenated solvents | Dichloromethane (methylene chloride) | 20 | 1.33 |
| Halogenated solvents | Chloroform | 20 | 1.48 |
| Halogenated solvents | Carbon tetrachloride | 20 | 1.59 |
| Acids & bases | Hydrochloric acid (approx. 30% w/w) | 20 | 1.15 |
| Acids & bases | Sulfuric acid (approx. 98% w/w) | 20 | 1.84 |
| Concentrated solutions | Sodium hydroxide solution (approx. 50% w/w) | 20 | 1.53 |
| Concentrated solutions | Glycerol (glycerin) | 20 | 1.26 |
| Refrigerants | Propylene glycol | 20 | 1.04 |
