# 1979–80 Los Angeles Lakers season
> Regular season

| Date | Opponent | Result | Score | Record | Streak |
| --- | --- | --- | --- | --- | --- |
| Tue, Feb 5, 1980 | @ New York Knicks | Win | 116–105 | 39–17 | Won 1 |
| Fri, Feb 8, 1980 | @ New Jersey Nets | Win | 125–120 (OT) | 40–17 | Won 2 |
| Sun, Feb 10, 1980 | @ Philadelphia 76ers | Loss | 104–105 | 40–18 | Lost 1 |
| Wed, Feb 13, 1980 | @ Portland Trail Blazers | Win | 129–100 | 41–18 | Won 1 |
| Fri, Feb 15, 1980 | Kansas City Kings | Win | 114–100 | 42–18 | Won 2 |
| Sun, Feb 17, 1980 | Washington Bullets | Win | 111–107 | 43–18 | Won 3 |
| Wed, Feb 20, 1980 | @ Denver Nuggets | Win | 116–103 | 44–18 | Won 4 |
| Fri, Feb 22, 1980 | New Jersey Nets | Win | 132–110 | 45–18 | Won 5 |
| Sun, Feb 24, 1980 | Houston Rockets | Win | 112–100 | 46–18 | Won 6 |
| Tue, Feb 26, 1980 | Seattle SuperSonics | Win | 131–108 | 47–18 | Won 7 |
| Fri, Feb 29, 1980 | Milwaukee Bucks | Loss | 117–126 (OT) | 47–19 | Lost 1 |
